session_id,participant_id,total_clicks,session_duration_s,final_score,total_rewards,overall_reward_rate,overall_switch_rate,total_switches,mean_run_length,median_run_length,mean_ici_s,median_ici_s,choice_prop_a,choice_entropy,proportion_optimal,mean_regret,cumulative_regret,win_stay_rate,lose_shift_rate,phase1_clicks,phase1_choice_prop_a,phase1_reward_rate,phase1_switch_rate,phase1_mean_run_length,phase1_mean_ici_s,phase1_proportion_optimal,phase2_clicks,phase2_choice_prop_a,phase2_reward_rate,phase2_switch_rate,phase2_mean_run_length,phase2_mean_ici_s,phase2_proportion_optimal,phase3_clicks,phase3_choice_prop_a,phase3_reward_rate,phase3_switch_rate,phase3_mean_run_length,phase3_mean_ici_s,phase3_proportion_optimal,phase4_clicks,phase4_choice_prop_a,phase4_reward_rate,phase4_switch_rate,phase4_mean_run_length,phase4_mean_ici_s,phase4_proportion_optimal,adaptation_lag_phase2_s,adaptation_lag_phase3_s,adaptation_lag_phase4_s
S001,P001,1054,359.921,4390,439,0.41650853889943074,0.11859582542694497,125,6.166034155597723,5.0,0.3404962049335864,0.33,0.530360531309298,0.9973387206808634,0.476280834914611,0.19598662239089185,206.56990000000002,0.9544419134396356,0.17100977198697068,266,0.4924812030075188,0.5601503759398496,0.13157894736842105,5.7481203007518795,0.3332443609022556,0.48120300751879697,260,0.6538461538461539,0.47692307692307695,0.11153846153846154,6.3076923076923075,0.34630769230769226,0.5807692307692308,263,0.43346007604562736,0.5133079847908745,0.10266159695817491,7.1216730038022815,0.34282509505703423,0.532319391634981,265,0.5433962264150943,0.1169811320754717,0.12830188679245283,5.49811320754717,0.3397622641509434,0.3132075471698113,4.024,6.144,
S002,P002,583,359.303,5170,517,0.8867924528301887,0.10806174957118353,63,21.156089193825043,13.0,0.6144922813036021,0.534,0.5385934819897084,0.9956980583124986,0.3704974271012007,0.08171457975986278,47.6396,0.9400386847195358,0.49230769230769234,125,0.728,0.888,0.088,11.48,0.6989039999999999,0.336,164,0.9207317073170732,0.9695121951219512,0.042682926829268296,23.359756097560975,0.555359756097561,0.5853658536585366,172,0.0755813953488372,0.9302325581395349,0.01744186046511628,38.76744186046512,0.5238953488372093,0.0872093023255814,122,0.48360655737704916,0.7131147540983607,0.3442622950819672,3.278688524590164,0.7352213114754098,0.5163934426229508,8.034,11.224,
S003,P003,812,359.03,5800,580,0.7142857142857143,0.29310344827586204,238,3.9273399014778323,2.5,0.4397179802955666,0.383,0.5,1.0,0.5504926108374384,0.113743842364532,92.35999999999999,0.7927461139896373,0.5086206896551724,220,0.4954545454545455,0.8863636363636364,0.33181818181818185,2.5954545454545452,0.3997409090909091,0.5136363636363637,230,0.691304347826087,0.7478260869565218,0.23043478260869565,4.1521739130434785,0.39081739130434784,0.5695652173913044,226,0.3053097345132743,0.7300884955752213,0.20353982300884957,6.030973451327434,0.39802212389380526,0.5575221238938053,136,0.5073529411764706,0.35294117647058826,0.4852941176470588,2.2058823529411766,0.656375,0.5661764705882353,10.863,6.896,
S004,P004,1107,359.511,4120,412,0.3721770551038844,0.27822944896115626,308,4.407407407407407,3.0,0.32371364046973805,0.297,0.4832881662149955,0.9991940026021565,0.4878048780487805,0.1431720867208672,158.4915,0.7330097087378641,0.28530259365994237,268,0.458955223880597,0.4925373134328358,0.5261194029850746,2.6828358208955225,0.33088432835820897,0.4701492537313433,255,0.6313725490196078,0.5450980392156862,0.3411764705882353,3.756862745098039,0.3532235294117647,0.6313725490196078,286,0.3706293706293706,0.3706293706293706,0.0979020979020979,6.7027972027972025,0.3147097902097902,0.5559440559440559,298,0.4865771812080537,0.1174496644295302,0.174496644295302,4.3120805369127515,0.3006543624161074,0.31543624161073824,4.456,17.757,
S005,P005,971,359.971,5220,522,0.537590113285273,0.3223480947476828,313,5.06076210092688,3.0,0.3689979402677652,0.363,0.4984552008238929,0.9999931142811856,0.5005149330587023,0.164845623069001,160.06509999999997,0.6264367816091954,0.26339285714285715,222,0.4864864864864865,0.8603603603603603,0.5180180180180181,2.5225225225225225,0.39627477477477485,0.6261261261261262,232,0.6508620689655172,0.6422413793103449,0.4482758620689655,3.9956896551724137,0.3890560344827586,0.5948275862068966,255,0.36470588235294116,0.5686274509803921,0.2,7.203921568627451,0.35278039215686274,0.5333333333333333,262,0.5038167938931297,0.14122137404580154,0.16412213740458015,6.068702290076335,0.34390839694656494,0.2786259541984733,0.124,16.562,
S006,P006,292,359.413,2640,264,0.9041095890410958,0.11301369863013698,33,7.534246575342466,6.0,1.2255376712328767,0.717,0.5924657534246576,0.9751875821170082,0.4589041095890411,0.08502945205479452,24.8286,0.9315589353612167,0.5357142857142857,120,0.7333333333333333,0.95,0.10833333333333334,9.508333333333333,0.7366916666666667,0.4583333333333333,11,0.9090909090909091,0.9090909090909091,0.09090909090909091,5.2727272727272725,1.4076363636363636,0.9090909090909091,83,0.43373493975903615,0.9156626506024096,0.10843373493975904,6.409638554216867,1.9807831325301204,0.46987951807228917,78,0.5,0.8205128205128205,0.1282051282051282,6.012820512820513,1.1482692307692308,0.38461538461538464,0.698,55.301,
S007,P007,1176,359.898,3610,361,0.30697278911564624,0.11224489795918367,132,6.773809523809524,6.0,0.3049668367346939,0.248,0.5399659863945578,0.9953863036764091,0.4370748299319728,0.16686802721088437,196.23680000000002,0.889196675900277,0.11302211302211303,237,0.540084388185654,0.540084388185654,0.1940928270042194,4.962025316455696,0.37422784810126575,0.5232067510548524,301,0.6179401993355482,0.33222591362126247,0.10631229235880399,6.5083056478405314,0.29896013289036544,0.5083056478405316,322,0.43478260869565216,0.2981366459627329,0.09006211180124224,7.192546583850931,0.27906521739130435,0.5,316,0.5727848101265823,0.11708860759493671,0.07911392405063292,7.958860759493671,0.28513607594936713,0.24050632911392406,5.041,7.07,
S008,P008,976,359.778,5000,500,0.5122950819672131,0.22848360655737704,223,4.411885245901639,3.0,0.3672438524590164,0.344,0.49385245901639346,0.9998909518398613,0.5225409836065574,0.16891116803278688,164.8573,0.82,0.28,254,0.42913385826771655,0.6692913385826772,0.2440944881889764,5.1141732283464565,0.34864173228346457,0.48031496062992124,242,0.6528925619834711,0.628099173553719,0.1652892561983471,4.75206611570248,0.3715702479338844,0.5950413223140496,245,0.3877551020408163,0.6122448979591837,0.1836734693877551,4.742857142857143,0.3673632653061225,0.5877551020408164,235,0.5106382978723404,0.11914893617021277,0.32340425531914896,2.9574468085106385,0.3827702127659574,0.425531914893617,1.269,16.196,
S009,P009,1034,359.942,4770,477,0.46131528046421666,0.28239845261121854,292,3.876208897485493,3.0,0.3469709864603482,0.2845,0.4787234042553192,0.998693408098057,0.511605415860735,0.13117620889748546,135.63619999999997,0.8155136268343816,0.3669064748201439,229,0.4410480349344978,0.7379912663755459,0.2183406113537118,4.414847161572053,0.3863930131004366,0.4366812227074236,245,0.6775510204081633,0.5795918367346938,0.2530612244897959,3.6979591836734693,0.3608816326530612,0.6448979591836734,278,0.35251798561151076,0.5071942446043165,0.23381294964028776,5.33453237410072,0.3298165467625899,0.5359712230215827,282,0.46099290780141844,0.08865248226950355,0.4078014184397163,2.1560283687943262,0.3197836879432624,0.4326241134751773,4.174,3.031,
S010,P010,873,359.989,4710,471,0.5395189003436426,0.10882016036655212,95,6.981672394043528,5.0,0.4103344788087056,0.353,0.5097365406643757,0.9997264470834905,0.45933562428407787,0.2173056128293242,189.70780000000002,0.9574468085106383,0.1865671641791045,230,0.5130434782608696,0.5826086956521739,0.09130434782608696,6.782608695652174,0.3814869565217391,0.4391304347826087,212,0.6037735849056604,0.6226415094339622,0.09905660377358491,7.665094339622642,0.4262924528301887,0.5235849056603774,205,0.33658536585365856,0.7609756097560976,0.12195121951219512,5.517073170731707,0.4377609756097561,0.5609756097560976,226,0.5752212389380531,0.2168141592920354,0.12389380530973451,7.871681415929204,0.3998451327433628,0.3274336283185841,6.548,8.911,
