cluster,feature,mean_z
0,overall_switch_rate,0.028874118948751217
0,mean_run_length,-0.18382927548476594
0,choice_entropy,0.14301606178181925
0,win_stay_rate,-0.020390662032531
0,lose_shift_rate,-0.10889864320405422
0,overall_reward_rate,-0.1960382455688927
0,total_rewards,0.07804358443720448
0,choice_prop_a,-0.13573997171686022
0,total_clicks,0.21540092804473024
0,adaptation_lag_phase2_s,0.0010397286243432296
0,adaptation_lag_phase3_s,-0.15157731348263148
0,best_E,-0.0046623937550400495
0,ccm_asymmetry,-0.15891883635055573
1,overall_switch_rate,-0.32339013222601437
1,mean_run_length,2.0588878854293795
1,choice_entropy,-1.601779891956323
1,win_stay_rate,0.22837541476435957
1,lose_shift_rate,1.2196648038854063
1,overall_reward_rate,2.195628350371587
1,total_rewards,-0.8740881456966851
1,choice_prop_a,1.5202876832288283
1,total_clicks,-2.4124903941009803
1,adaptation_lag_phase2_s,-0.011644960592641529
1,adaptation_lag_phase3_s,1.6976659110054733
1,best_E,0.05221881005644744
1,ccm_asymmetry,1.7798909671262237
