session_id,model,accuracy,f1,mcc
mmgkzukxb91bym,smap_melioration,0.7371916508538899,0.7418452935694315,0.4769060187779593
mmgkzukxb91bym,smap_qlearning,0.7371916508538899,0.7418452935694315,0.4769060187779593
mmgkzukxb91bym,smap_hmm4,0.9867172675521821,0.9875886524822695,0.9734823353469372
mmglwqjl2idcz3,smap_melioration,0.8782161234991424,0.8860353130016051,0.7554105037955743
mmglwqjl2idcz3,smap_qlearning,0.8782161234991424,0.8860353130016051,0.7554105037955743
mmglwqjl2idcz3,smap_hmm4,1.0,1.0,1.0
mmgnnwif7rgnag,smap_melioration,0.7019704433497537,0.6913265306122449,0.40490494746616607
mmgnnwif7rgnag,smap_qlearning,0.7019704433497537,0.6913265306122449,0.40490494746616607
mmgnnwif7rgnag,smap_hmm4,0.6564039408866995,0.51138353765324,0.3886955857075754
mmgp4bc84vs4qt,smap_melioration,0.6811201445347786,0.6770356816102471,0.3627266726349878
mmgp4bc84vs4qt,smap_qlearning,0.6811201445347786,0.6770356816102471,0.3627266726349878
mmgp4bc84vs4qt,smap_hmm4,0.7181571815718157,0.6,0.5033531986382049
mmgp4tj5hwk1cr,smap_melioration,0.6735324407826982,0.679474216380182,0.34747101656488777
mmgp4tj5hwk1cr,smap_qlearning,0.6735324407826982,0.679474216380182,0.34747101656488777
mmgp4tj5hwk1cr,smap_hmm4,0.9979402677651905,0.9979296066252588,0.995888894298396
mmgp5kmoz5itw5,smap_melioration,0.7876712328767124,0.8228571428571428,0.5582132511294495
mmgp5kmoz5itw5,smap_qlearning,0.7876712328767124,0.8228571428571428,0.5582132511294495
mmgp5kmoz5itw5,smap_hmm4,0.9623287671232876,0.9688385269121813,0.9224253031338059
mmgp92mez7ni28,smap_melioration,0.7193877551020408,0.7169811320754716,0.450077044440639
mmgp92mez7ni28,smap_qlearning,0.7193877551020408,0.7169811320754716,0.450077044440639
mmgp92mez7ni28,smap_hmm4,0.8460884353741497,0.8743927827897293,0.7156725133380061
mmgp978syi159c,smap_melioration,0.6444672131147541,0.61742006615215,0.28979392828533923
mmgp978syi159c,smap_qlearning,0.6444672131147541,0.61742006615215,0.28979392828533923
mmgp978syi159c,smap_hmm4,0.9918032786885246,0.9916492693110647,0.9836759979865152
mmgp9zmmm2qlbz,smap_melioration,0.6441005802707931,0.6427184466019418,0.29012122629074955
mmgp9zmmm2qlbz,smap_qlearning,0.6441005802707931,0.6427184466019418,0.29012122629074955
mmgp9zmmm2qlbz,smap_hmm4,0.9990328820116054,0.9989909182643795,0.9980642884590655
mmgpaypnopkm1q,smap_melioration,0.7800687285223368,0.7931034482758621,0.56136324056848
mmgpaypnopkm1q,smap_qlearning,0.7800687285223368,0.7931034482758621,0.56136324056848
mmgpaypnopkm1q,smap_hmm4,1.0,1.0,1.0
mmgpciu4e2yunz,smap_melioration,0.7684729064039408,0.775549188156638,0.5400804308532228
mmgpciu4e2yunz,smap_qlearning,0.7684729064039408,0.775549188156638,0.5400804308532228
mmgpciu4e2yunz,smap_hmm4,0.987192118226601,0.9868287740628167,0.9745969957265702
mmgpgi4g1jzpv2,smap_melioration,0.6519174041297935,0.6387755102040816,0.3039024237540489
mmgpgi4g1jzpv2,smap_qlearning,0.6519174041297935,0.6387755102040816,0.3039024237540489
mmgpgi4g1jzpv2,smap_hmm4,0.9154375614552606,0.9166666666666666,0.8422425621260993
mmgpiq4ct3r8s1,smap_melioration,0.6517647058823529,0.6775599128540305,0.3304673676077575
mmgpiq4ct3r8s1,smap_qlearning,0.6517647058823529,0.6775599128540305,0.3304673676077575
mmgpiq4ct3r8s1,smap_hmm4,1.0,1.0,1.0
mmgpqa16u4u07b,smap_melioration,0.7210953346855984,0.7185261003070624,0.44257307514008376
mmgpqa16u4u07b,smap_qlearning,0.7210953346855984,0.7185261003070624,0.44257307514008376
mmgpqa16u4u07b,smap_hmm4,1.0,1.0,1.0
mmgpy8l4xh9nto,smap_melioration,0.5865209471766849,0.5887681159420289,0.1734883253091455
mmgpy8l4xh9nto,smap_qlearning,0.5865209471766849,0.5887681159420289,0.1734883253091455
mmgpy8l4xh9nto,smap_hmm4,0.9981785063752276,0.9981481481481481,0.9963626606210714
mmgq3qouddjc6z,smap_melioration,0.6990459670424979,0.7021459227467811,0.3984065298694971
mmgq3qouddjc6z,smap_qlearning,0.6990459670424979,0.7021459227467811,0.3984065298694971
mmgq3qouddjc6z,smap_hmm4,1.0,1.0,1.0
mmgqyc7ozjls4u,smap_melioration,0.6331707317073171,0.6349514563106796,0.2674097470360039
mmgqyc7ozjls4u,smap_qlearning,0.6331707317073171,0.6349514563106796,0.2674097470360039
mmgqyc7ozjls4u,smap_hmm4,1.0,1.0,1.0
mmgr4s188ypj5i,smap_melioration,0.7332677165354331,0.7314172447968286,0.46675026257787244
mmgr4s188ypj5i,smap_qlearning,0.7332677165354331,0.7314172447968286,0.46675026257787244
mmgr4s188ypj5i,smap_hmm4,0.7450787401574803,0.6605504587155964,0.54754059228038
mmgr4wtlfg07a6,smap_melioration,0.6161087866108786,0.6311557788944724,0.23474142123977976
mmgr4wtlfg07a6,smap_qlearning,0.6161087866108786,0.6311557788944724,0.23474142123977976
mmgr4wtlfg07a6,smap_hmm4,0.5711297071129707,0.38622754491017963,0.1652308150644044
mmgr8c41csnx7y,smap_melioration,0.6266471449487555,0.5215759849906192,0.23222740944840364
mmgr8c41csnx7y,smap_qlearning,0.6266471449487555,0.5215759849906192,0.23222740944840364
mmgr8c41csnx7y,smap_hmm4,0.6910688140556369,0.498812351543943,0.41726198607911974
mmh0l2c7syhpy7,smap_melioration,0.6124634858812074,0.6067193675889329,0.22841508072399072
mmh0l2c7syhpy7,smap_qlearning,0.6124634858812074,0.6067193675889329,0.22841508072399072
mmh0l2c7syhpy7,smap_hmm4,1.0,1.0,1.0
mmh0l48d4j1y4y,smap_melioration,0.5833333333333334,0.6217616580310881,0.16573598241721973
mmh0l48d4j1y4y,smap_qlearning,0.5833333333333334,0.6217616580310881,0.16573598241721973
mmh0l48d4j1y4y,smap_hmm4,0.7157534246575342,0.6364963503649635,0.4956746682337136
mmh0le5hn8utpd,smap_melioration,0.7223340040241448,0.7315175097276264,0.44636415624200554
mmh0le5hn8utpd,smap_qlearning,0.7223340040241448,0.7315175097276264,0.44636415624200554
mmh0le5hn8utpd,smap_hmm4,1.0,1.0,1.0
mmh0lgop76n6ez,smap_melioration,0.6066298342541436,0.6396761133603239,0.224893467358517
mmh0lgop76n6ez,smap_qlearning,0.6066298342541436,0.6396761133603239,0.224893467358517
