session_id,phase,median_ici,p_higher_observed,n_clicks,p_higher_optimal,optimal_reward_rate,distance_from_optimal
mmh0lku3ip54e4,Phase 3,0.352,0.686046511627907,258,0.6300000000000001,0.59595,0.05604651162790686
mmh0lpcdm9wdcu,Phase 2,0.7555000000000001,0.9230769230769231,78,0.9600000000000004,1.0,-0.03692307692307728
mmh0lpcdm9wdcu,Phase 3,0.632,0.8695652173913043,92,0.9900000000000004,1.0,-0.12043478260869611
mmh0m3latwun95,Phase 2,0.328,0.6567164179104478,268,0.5700000000000001,0.5373,0.08671641791044771
mmh0m3latwun95,Phase 3,0.328,0.6401515151515151,264,0.5700000000000001,0.5373,0.07015151515151508
mmh0mm0schxk59,Phase 2,0.329,0.6692015209125475,263,0.5700000000000001,0.5373,0.09920152091254741
mmh0mm0schxk59,Phase 3,0.302,0.6280701754385964,285,0.52,0.4727,0.10807017543859643
mmh0mmptqfyu87,Phase 2,0.63,0.5153846153846153,130,0.9900000000000004,1.0,-0.4746153846153851
mmh0mmptqfyu87,Phase 3,0.612,0.5303030303030303,132,0.9900000000000004,1.0,-0.45969696969697016
mmh0nnjg95y0zn,Phase 2,0.288,0.6116504854368932,309,0.52,0.45505,0.09165048543689314
mmh0nnjg95y0zn,Phase 3,0.288,0.5967741935483871,310,0.52,0.45505,0.0767741935483871
mmh0ocgvf4p325,Phase 2,0.352,0.6470588235294118,255,0.6300000000000001,0.59595,0.017058823529411682
mmh0ocgvf4p325,Phase 3,0.356,0.6586345381526104,249,0.6600000000000001,0.65025,-0.0013654618473897262
mmh0opq734nw1a,Phase 2,0.341,0.6351351351351351,222,0.6100000000000001,0.56495,0.02513513513513499
mmh0opq734nw1a,Phase 3,0.35,0.6061946902654867,226,0.6300000000000001,0.59595,-0.023805309734513447
mmh0ozswma6i3j,Phase 2,0.3005,0.583941605839416,274,0.52,0.4727,0.063941605839416
mmh0ozswma6i3j,Phase 3,0.309,0.6082474226804124,291,0.54,0.49445,0.0682474226804124
mmh0pa4lgnz2nd,Phase 2,0.372,0.6608695652173913,230,0.6900000000000002,0.7089,-0.029130434782608905
