session_id,model,phase,accuracy,f1,mcc
mmgp4bc84vs4qt,hmm_4state,Ph 2,0.803921568627451,0.8161764705882353,0.6708589716433466
mmgp4bc84vs4qt,hmm_4state,Ph 3,0.7132867132867133,0.36923076923076925,0.3944012612680354
mmgp4bc84vs4qt,hmm_4state,Ph 4,0.5738255033557047,0.22085889570552147,0.26044675524043476
mmgp4tj5hwk1cr,hmm_2state,Full,1.0,1.0,1.0
mmgp4tj5hwk1cr,hmm_2state,Ph 1,1.0,1.0,1.0
mmgp4tj5hwk1cr,hmm_2state,Ph 2,1.0,1.0,1.0
mmgp4tj5hwk1cr,hmm_2state,Ph 3,1.0,1.0,1.0
mmgp4tj5hwk1cr,hmm_2state,Ph 4,1.0,1.0,1.0
mmgp4tj5hwk1cr,hmm_3state,Full,0.7181913774973712,0.7398058252427184,0.44331813023022265
mmgp4tj5hwk1cr,hmm_3state,Ph 1,0.49504950495049505,0.3780487804878049,-0.021537539696458847
mmgp4tj5hwk1cr,hmm_3state,Ph 2,0.8232758620689655,0.8783382789317508,0.6109612220969501
mmgp4tj5hwk1cr,hmm_3state,Ph 3,0.5725490196078431,0.6093189964157706,0.31477232912569403
mmgp4tj5hwk1cr,hmm_3state,Ph 4,0.9389312977099237,0.936,0.8830043590356366
mmgp4tj5hwk1cr,hmm_4state,Full,0.9968454258675079,0.996832101372756,0.993692944628786
mmgp4tj5hwk1cr,hmm_4state,Ph 1,0.9900990099009901,0.9897959183673469,0.9801805337519623
mmgp4tj5hwk1cr,hmm_4state,Ph 2,0.9956896551724138,0.9966777408637874,0.9905872621276315
mmgp4tj5hwk1cr,hmm_4state,Ph 3,1.0,1.0,1.0
mmgp4tj5hwk1cr,hmm_4state,Ph 4,1.0,1.0,1.0
mmgp5kmoz5itw5,hmm_2state,Full,0.5808823529411765,0.7348837209302326,0.0
mmgp5kmoz5itw5,hmm_2state,Ph 1,0.73,0.8439306358381503,0.0
mmgp5kmoz5itw5,hmm_2state,Ph 2,0.9090909090909091,0.9523809523809523,0.0
mmgp5kmoz5itw5,hmm_2state,Ph 3,0.43373493975903615,0.6050420168067226,0.0
mmgp5kmoz5itw5,hmm_2state,Ph 4,0.5,0.6666666666666666,0.0
mmgp5kmoz5itw5,hmm_3state,Full,0.5698529411764706,0.7259953161592506,-0.08970328955076252
mmgp5kmoz5itw5,hmm_3state,Ph 1,0.71,0.8304093567251462,-0.0868805200799339
mmgp5kmoz5itw5,hmm_3state,Ph 2,0.8181818181818182,0.9,-0.1
mmgp5kmoz5itw5,hmm_3state,Ph 3,0.43373493975903615,0.6050420168067226,0.0
mmgp5kmoz5itw5,hmm_3state,Ph 4,0.5,0.6666666666666666,0.0
mmgp5kmoz5itw5,hmm_4state,Full,0.9485294117647058,0.9567901234567902,0.894916163068938
mmgp5kmoz5itw5,hmm_4state,Ph 1,0.95,0.9659863945578231,0.8719505178065926
mmgp5kmoz5itw5,hmm_4state,Ph 2,0.8181818181818182,0.9,-0.1
mmgp5kmoz5itw5,hmm_4state,Ph 3,1.0,1.0,1.0
mmgp5kmoz5itw5,hmm_4state,Ph 4,0.9102564102564102,0.9176470588235294,0.8340576562282991
mmgp92mez7ni28,hmm_2state,Full,0.53719723183391,0.69893078221722,-0.02726367801318324
mmgp92mez7ni28,hmm_2state,Ph 1,0.5253456221198156,0.6888217522658611,-0.06408026367951926
mmgp92mez7ni28,hmm_2state,Ph 2,0.6179401993355482,0.7638603696098563,0.0
mmgp92mez7ni28,hmm_2state,Ph 3,0.43478260869565216,0.6060606060606061,0.0
mmgp92mez7ni28,hmm_2state,Ph 4,0.5727848101265823,0.7283702213279678,0.0
mmgp92mez7ni28,hmm_3state,Full,0.5320069204152249,0.6707242848447961,0.008851857186419716
mmgp92mez7ni28,hmm_3state,Ph 1,0.5345622119815668,0.6576271186440678,0.03948565133587709
mmgp92mez7ni28,hmm_3state,Ph 2,0.6046511627906976,0.7104622871046229,0.1095942656177802
mmgp92mez7ni28,hmm_3state,Ph 3,0.422360248447205,0.5772727272727273,-0.08528711962478727
mmgp92mez7ni28,hmm_3state,Ph 4,0.5727848101265823,0.7283702213279678,0.0
mmgp92mez7ni28,hmm_4state,Full,0.8503460207612457,0.8779110797459422,0.7272682035393794
mmgp92mez7ni28,hmm_4state,Ph 1,0.7557603686635944,0.8127208480565371,0.5734456114410902
mmgp92mez7ni28,hmm_4state,Ph 2,0.920265780730897,0.9393939393939394,0.8371795298604663
mmgp92mez7ni28,hmm_4state,Ph 3,0.7577639751552795,0.7821229050279329,0.6057825328153826
mmgp92mez7ni28,hmm_4state,Ph 4,0.9430379746835443,0.9526315789473684,0.8878483580362536
mmgp978syi159c,hmm_2state,Full,0.5062761506276151,0.4143920595533499,0.01537011432163109
mmgp978syi159c,hmm_2state,Ph 1,0.5598290598290598,0.176,0.10416093841147403
mmgp978syi159c,hmm_2state,Ph 2,0.47520661157024796,0.5381818181818182,-0.04148696973602096
mmgp978syi159c,hmm_2state,Ph 3,0.4775510204081633,0.49606299212598426,0.023640612256021244
mmgp978syi159c,hmm_2state,Ph 4,0.5148936170212766,0.25,0.06601117541914425
mmgp978syi159c,hmm_3state,Full,0.9843096234309623,0.9846153846153847,0.9689712235749819
mmgp978syi159c,hmm_3state,Ph 1,0.9914529914529915,0.9907407407407407,0.9828042328042328
mmgp978syi159c,hmm_3state,Ph 2,0.9834710743801653,0.9875,0.9637766200265587
mmgp978syi159c,hmm_3state,Ph 3,0.9795918367346939,0.9743589743589743,0.9582971007643367
mmgp978syi159c,hmm_3state,Ph 4,0.9829787234042553,0.9836065573770492,0.9664788390976609
mmgp978syi159c,hmm_4state,Full,0.9926778242677824,0.9926854754440961,0.9854099419569889
mmgp978syi159c,hmm_4state,Ph 1,0.9957264957264957,0.9953917050691244,0.9914443968959148
mmgp978syi159c,hmm_4state,Ph 2,0.9917355371900827,0.9936305732484076,0.9820286836901592
mmgp978syi159c,hmm_4state,Ph 3,0.9959183673469387,0.9947089947089947,0.9914236623940481
mmgp978syi159c,hmm_4state,Ph 4,0.9872340425531915,0.9873417721518988,0.9747881125694853
mmgp9zmmm2qlbz,hmm_2state,Full,0.5256410256410257,0.5165829145728643,0.051490032320727415
mmgp9zmmm2qlbz,hmm_2state,Ph 1,0.5263157894736842,0.26666666666666666,-0.022132303322491914
mmgp9zmmm2qlbz,hmm_2state,Ph 2,0.5469387755102041,0.6686567164179105,-0.04730974781328546
mmgp9zmmm2qlbz,hmm_2state,Ph 3,0.49280575539568344,0.5252525252525253,0.13102838013624332
mmgp9zmmm2qlbz,hmm_2state,Ph 4,0.5390070921985816,0.4298245614035088,0.05710884033517751
mmgp9zmmm2qlbz,hmm_3state,Full,0.9960552268244576,0.9958932238193019,0.99210593144113
mmgp9zmmm2qlbz,hmm_3state,Ph 1,1.0,1.0,1.0
mmgp9zmmm2qlbz,hmm_3state,Ph 2,1.0,1.0,1.0
mmgp9zmmm2qlbz,hmm_3state,Ph 3,0.9964028776978417,0.9949238578680203,0.9921691141464833
mmgp9zmmm2qlbz,hmm_3state,Ph 4,0.9893617021276596,0.9885057471264368,0.9786299147042448
mmgp9zmmm2qlbz,hmm_4state,Full,0.9990138067061144,0.998972250770812,0.9980263330735852
mmgp9zmmm2qlbz,hmm_4state,Ph 1,1.0,1.0,1.0
mmgp9zmmm2qlbz,hmm_4state,Ph 2,1.0,1.0,1.0
mmgp9zmmm2qlbz,hmm_4state,Ph 3,0.9964028776978417,0.9949238578680203,0.9921691141464833
mmgp9zmmm2qlbz,hmm_4state,Ph 4,1.0,1.0,1.0
mmgpaypnopkm1q,hmm_2state,Full,0.4794841735052755,0.5524193548387096,-0.04602481280779852
mmgpaypnopkm1q,hmm_2state,Ph 1,0.44285714285714284,0.5185185185185185,-0.1145047287665417
mmgpaypnopkm1q,hmm_2state,Ph 2,0.5801886792452831,0.7261538461538461,-0.03548188019842803
mmgpaypnopkm1q,hmm_2state,Ph 3,0.37073170731707317,0.43171806167400884,-0.1026619123593182
mmgpaypnopkm1q,hmm_2state,Ph 4,0.5176991150442478,0.4467005076142132,0.10702171434538614
mmgpaypnopkm1q,hmm_3state,Full,0.9167643610785463,0.9182968929804373,0.8336743990412092
mmgpaypnopkm1q,hmm_3state,Ph 1,0.8952380952380953,0.8932038834951457,0.7904001451773887
mmgpaypnopkm1q,hmm_3state,Ph 2,0.9339622641509434,0.9461538461538461,0.8615214487026283
mmgpaypnopkm1q,hmm_3state,Ph 3,0.9073170731707317,0.8707482993197279,0.8025748827603931
mmgpaypnopkm1q,hmm_3state,Ph 4,0.9292035398230089,0.9375,0.8564691338801284
mmgpaypnopkm1q,hmm_4state,Full,1.0,1.0,1.0
mmgpaypnopkm1q,hmm_4state,Ph 1,1.0,1.0,1.0
mmgpaypnopkm1q,hmm_4state,Ph 2,1.0,1.0,1.0
mmgpaypnopkm1q,hmm_4state,Ph 3,1.0,1.0,1.0
mmgpaypnopkm1q,hmm_4state,Ph 4,1.0,1.0,1.0
mmgpciu4e2yunz,hmm_2state,Full,0.4914572864321608,0.6240713224368499,-0.004714528121403609
mmgpciu4e2yunz,hmm_2state,Ph 1,0.4595744680851064,0.5665529010238908,-0.09078482689832384
mmgpciu4e2yunz,hmm_2state,Ph 2,0.6324110671936759,0.7703703703703704,0.017041932135801918
mmgpciu4e2yunz,hmm_2state,Ph 3,0.4153225806451613,0.5425867507886435,0.0563436169819011
mmgpciu4e2yunz,hmm_2state,Ph 4,0.4555984555984556,0.5740181268882175,-0.02674251360934078
mmgpciu4e2yunz,hmm_3state,Full,0.48040201005025124,0.5508253692441355,-0.034833525116392955
mmgpciu4e2yunz,hmm_3state,Ph 1,0.4765957446808511,0.5622775800711743,-0.049136363706345144
mmgpciu4e2yunz,hmm_3state,Ph 2,0.6324110671936759,0.7223880597014926,0.18111323179756048
mmgpciu4e2yunz,hmm_3state,Ph 3,0.3548387096774194,0.4326241134751773,-0.1931632722373181
mmgpciu4e2yunz,hmm_3state,Ph 4,0.4555984555984556,0.4426877470355731,-0.08335895351179787
mmgpciu4e2yunz,hmm_4state,Full,0.9869346733668342,0.986639260020555,0.9738745271240841
