session_id,phase_id,E,lib_size,n_obs,rho_reward_causes_choice,rho_choice_causes_reward
mmgp4bc84vs4qt,4,2,105,200,0.21128650000000002,0.23573099999999997
mmgp4bc84vs4qt,4,2,147,200,0.224742,0.2420795
mmgp4bc84vs4qt,4,2,190,200,0.26637000000000005,0.2549040000000001
mmgp4tj5hwk1cr,1,4,20,200,0.25017349999999994,0.092096
mmgp4tj5hwk1cr,1,4,62,200,0.38575499999999996,0.19575
mmgp4tj5hwk1cr,1,4,105,200,0.433467,0.22606449999999997
mmgp4tj5hwk1cr,1,4,147,200,0.44959150000000003,0.18259600000000004
mmgp4tj5hwk1cr,1,4,190,200,0.478314,0.19077550000000001
mmgp4tj5hwk1cr,2,2,20,200,0.30200000000000005,0.33006100000000005
mmgp4tj5hwk1cr,2,2,62,200,0.3716095,0.38803299999999996
mmgp4tj5hwk1cr,2,2,105,200,0.41274999999999995,0.427147
mmgp4tj5hwk1cr,2,2,147,200,0.47981850000000004,0.4797700000000001
mmgp4tj5hwk1cr,2,2,190,200,0.4741194999999999,0.5093695
mmgp4tj5hwk1cr,3,2,20,200,0.511747,0.41236649999999997
mmgp4tj5hwk1cr,3,2,62,200,0.5790975,0.4782780000000001
mmgp4tj5hwk1cr,3,2,105,200,0.6207505000000001,0.521541
mmgp4tj5hwk1cr,3,2,147,200,0.648127,0.5526575000000001
mmgp4tj5hwk1cr,3,2,190,200,0.6945560000000001,0.5745245
mmgp4tj5hwk1cr,4,2,20,200,0.13351500000000002,0.10507649999999999
mmgp4tj5hwk1cr,4,2,62,200,0.21153299999999997,0.14097700000000002
mmgp4tj5hwk1cr,4,2,105,200,0.2460655,0.16538400000000003
mmgp4tj5hwk1cr,4,2,147,200,0.280691,0.179532
mmgp4tj5hwk1cr,4,2,190,200,0.31010850000000006,0.19421499999999997
mmgp5kmoz5itw5,1,2,20,120,0.633351,0.3353075
mmgp5kmoz5itw5,1,2,42,120,0.6174339999999999,0.409926
mmgp5kmoz5itw5,1,2,65,120,0.665126,0.420782
mmgp5kmoz5itw5,1,2,87,120,0.6849875,0.44958500000000007
mmgp5kmoz5itw5,1,2,110,120,0.7229874999999999,0.4566295
mmgp5kmoz5itw5,3,2,20,83,0.126809,0.38521
mmgp5kmoz5itw5,3,2,33,83,0.13588650000000002,0.3802055000000001
mmgp5kmoz5itw5,3,2,46,83,0.14580849999999998,0.41096950000000004
mmgp5kmoz5itw5,3,2,59,83,0.17976799999999998,0.3361695
mmgp5kmoz5itw5,3,2,73,83,0.1855325,0.33915550000000005
mmgp5kmoz5itw5,4,2,20,78,0.2411495,0.18404700000000002
mmgp5kmoz5itw5,4,2,32,78,0.20496449999999994,0.237628
mmgp5kmoz5itw5,4,2,44,78,0.24144250000000006,0.20138799999999996
mmgp5kmoz5itw5,4,2,56,78,0.24924,0.268111
mmgp5kmoz5itw5,4,2,68,78,0.2851389999999999,0.30063399999999996
mmgp92mez7ni28,1,3,20,200,0.3804015,0.5768699999999999
mmgp92mez7ni28,1,3,62,200,0.37422400000000006,0.6262865
mmgp92mez7ni28,1,3,105,200,0.39602499999999996,0.6738
mmgp92mez7ni28,1,3,147,200,0.3958745,0.664859
mmgp92mez7ni28,1,3,190,200,0.4357520000000001,0.7222290000000001
mmgp92mez7ni28,2,4,20,200,0.102929,0.33426849999999997
mmgp92mez7ni28,2,4,62,200,0.16516099999999997,0.41683449999999994
mmgp92mez7ni28,2,4,105,200,0.1689615,0.41759499999999994
mmgp92mez7ni28,2,4,147,200,0.198729,0.4519540000000001
mmgp92mez7ni28,2,4,190,200,0.22594050000000002,0.49054349999999997
mmgp92mez7ni28,3,2,20,200,0.1177565,0.2474205
mmgp92mez7ni28,3,2,62,200,0.3045025,0.311392
mmgp92mez7ni28,3,2,105,200,0.33099599999999996,0.3353135000000001
mmgp92mez7ni28,3,2,147,200,0.3971215,0.330218
mmgp92mez7ni28,3,2,190,200,0.45580399999999993,0.3272145
mmgp92mez7ni28,4,2,20,200,0.1818345,0.006586999999999998
mmgp92mez7ni28,4,2,62,200,0.3490645,0.0288315
mmgp92mez7ni28,4,2,105,200,0.37788449999999996,0.031315499999999996
mmgp92mez7ni28,4,2,147,200,0.4162795,0.020561000000000003
mmgp92mez7ni28,4,2,190,200,0.4640455,0.042505499999999995
mmgp978syi159c,1,2,20,200,0.22918449999999999,0.39814000000000005
mmgp978syi159c,1,2,62,200,0.4028885000000001,0.47859799999999997
mmgp978syi159c,1,2,105,200,0.3845685,0.5132875
mmgp978syi159c,1,2,147,200,0.41804699999999995,0.541266
mmgp978syi159c,1,2,190,200,0.43553050000000004,0.5904735000000001
mmgp978syi159c,2,2,20,200,0.150518,0.059845
mmgp978syi159c,2,2,62,200,0.186888,0.045804
mmgp978syi159c,2,2,105,200,0.20586900000000002,0.07604999999999999
mmgp978syi159c,2,2,147,200,0.25114099999999995,0.0816415
mmgp978syi159c,2,2,190,200,0.278031,0.10193250000000001
mmgp978syi159c,3,2,20,200,0.21058400000000002,0.258084
mmgp978syi159c,3,2,62,200,0.321409,0.26765500000000003
mmgp978syi159c,3,2,105,200,0.39312050000000004,0.328758
mmgp978syi159c,3,2,147,200,0.439112,0.3568045
mmgp978syi159c,3,2,190,200,0.45855199999999996,0.36820100000000006
mmgp978syi159c,4,2,20,200,0.198612,0.294443
mmgp978syi159c,4,2,62,200,0.31765750000000004,0.29415899999999995
mmgp978syi159c,4,2,105,200,0.35392950000000006,0.279659
mmgp978syi159c,4,2,147,200,0.345178,0.30009350000000007
mmgp978syi159c,4,2,190,200,0.3604665,0.2946295
mmgp9zmmm2qlbz,1,2,20,200,0.13980449999999997,0.023667
mmgp9zmmm2qlbz,1,2,62,200,0.24445299999999998,0.11237599999999999
mmgp9zmmm2qlbz,1,2,105,200,0.294455,0.19049649999999999
mmgp9zmmm2qlbz,1,2,147,200,0.31254100000000007,0.2643115000000001
mmgp9zmmm2qlbz,1,2,190,200,0.3241195,0.337118
mmgp9zmmm2qlbz,2,2,20,200,0.1745525,0.23276499999999997
mmgp9zmmm2qlbz,2,2,62,200,0.22206450000000003,0.34664400000000006
mmgp9zmmm2qlbz,2,2,105,200,0.2967599999999999,0.39215349999999993
mmgp9zmmm2qlbz,2,2,147,200,0.336158,0.428671
mmgp9zmmm2qlbz,2,2,190,200,0.351328,0.465684
mmgp9zmmm2qlbz,3,6,20,200,0.439814,0.5042355000000002
mmgp9zmmm2qlbz,3,6,62,200,0.5284150000000001,0.5349570000000001
mmgp9zmmm2qlbz,3,6,105,200,0.5341429999999998,0.5158604999999999
mmgp9zmmm2qlbz,3,6,147,200,0.568699,0.5255075
mmgp9zmmm2qlbz,3,6,190,200,0.5708439999999999,0.5272114999999999
mmgp9zmmm2qlbz,4,2,20,200,0.055847,0.049234
mmgp9zmmm2qlbz,4,2,62,200,0.124314,0.112998
mmgp9zmmm2qlbz,4,2,105,200,0.1922755,0.1650605
mmgp9zmmm2qlbz,4,2,147,200,0.21185199999999998,0.185865
mmgp9zmmm2qlbz,4,2,190,200,0.2144485,0.20394800000000002
mmgpaypnopkm1q,1,3,20,200,0.1734795,0.1854385
mmgpaypnopkm1q,1,3,62,200,0.36897050000000003,0.21787400000000004
mmgpaypnopkm1q,1,3,105,200,0.41485500000000003,0.26273650000000004
mmgpaypnopkm1q,1,3,147,200,0.43863199999999997,0.310542
mmgpaypnopkm1q,1,3,190,200,0.48643100000000006,0.35747
mmgpaypnopkm1q,2,2,20,200,0.27037199999999995,0.2014045
mmgpaypnopkm1q,2,2,62,200,0.318079,0.3023845
mmgpaypnopkm1q,2,2,105,200,0.336528,0.344062
mmgpaypnopkm1q,2,2,147,200,0.33489800000000003,0.346906
mmgpaypnopkm1q,2,2,190,200,0.3391595,0.3684895
mmgpaypnopkm1q,3,2,20,200,0.34387399999999996,0.35774700000000004
mmgpaypnopkm1q,3,2,62,200,0.4384985,0.422999
mmgpaypnopkm1q,3,2,105,200,0.44602249999999993,0.4635079999999999
mmgpaypnopkm1q,3,2,147,200,0.484088,0.4851869999999999
mmgpaypnopkm1q,3,2,190,200,0.4883705,0.4894065
mmgpaypnopkm1q,4,2,20,200,0.101433,0.23839549999999998
mmgpaypnopkm1q,4,2,62,200,0.1989625,0.3241835
mmgpaypnopkm1q,4,2,105,200,0.22446050000000003,0.3609335
mmgpaypnopkm1q,4,2,147,200,0.278732,0.3594285
mmgpaypnopkm1q,4,2,190,200,0.3169415,0.3755835
mmgpciu4e2yunz,1,3,20,200,0.315545,0.199609
mmgpciu4e2yunz,1,3,62,200,0.515339,0.368383
mmgpciu4e2yunz,1,3,105,200,0.5539025000000001,0.42918700000000004
mmgpciu4e2yunz,1,3,147,200,0.5938125,0.46278450000000004
mmgpciu4e2yunz,1,3,190,200,0.6064940000000001,0.5066350000000001
mmgpciu4e2yunz,2,2,20,200,0.446309,0.3222735
mmgpciu4e2yunz,2,2,62,200,0.44026049999999994,0.410661
mmgpciu4e2yunz,2,2,105,200,0.446629,0.4415865
mmgpciu4e2yunz,2,2,147,200,0.48545699999999997,0.460751
mmgpciu4e2yunz,2,2,190,200,0.49862399999999996,0.461684
mmgpciu4e2yunz,3,2,20,200,0.42607249999999997,0.29342550000000006
