session_id,overall_switch_rate,mean_run_length,choice_entropy,win_stay_rate,lose_shift_rate,overall_reward_rate,total_rewards,choice_prop_a,total_clicks,adaptation_lag_phase2_s,adaptation_lag_phase3_s,best_E,ccm_asymmetry
mmgkzukxb91bym,0.11859582542694497,6.166034155597723,0.9973387206808634,0.9544419134396356,0.17100977198697068,0.41650853889943074,439,0.530360531309298,1054,4.024,6.144,3,0.04604900000000006
mmglwqjl2idcz3,0.10806174957118353,21.156089193825043,0.9956980583124986,0.9400386847195358,0.49230769230769234,0.8867924528301887,517,0.5385934819897084,583,8.034,11.224,2,0.6501804
mmgnnwif7rgnag,0.29310344827586204,3.9273399014778323,1.0,0.7927461139896373,0.5086206896551724,0.7142857142857143,580,0.5,812,10.863,6.896,1,0.12536980000000003
mmgp4bc84vs4qt,0.27822944896115626,4.407407407407407,0.9991940026021565,0.7330097087378641,0.28530259365994237,0.3721770551038844,412,0.4832881662149955,1107,4.456,17.757,5,0.06386939999999999
mmgp4tj5hwk1cr,0.3223480947476828,5.06076210092688,0.9999931142811856,0.6264367816091954,0.26339285714285715,0.537590113285273,522,0.4984552008238929,971,0.124,16.562,1,0.16321319999999992
mmgp5kmoz5itw5,0.11301369863013698,7.534246575342466,0.9751875821170082,0.9315589353612167,0.5357142857142857,0.9041095890410958,264,0.5924657534246576,292,0.698,55.301,2,0.20147520000000008
mmgp92mez7ni28,0.11224489795918367,6.773809523809524,0.9953863036764091,0.889196675900277,0.11302211302211303,0.30697278911564624,361,0.5399659863945578,1176,5.041,7.07,4,-0.06399139999999989
mmgp978syi159c,0.22848360655737704,4.411885245901639,0.9998909518398613,0.82,0.28,0.5122950819672131,500,0.49385245901639346,976,1.269,16.196,2,0.06241640000000001
mmgp9zmmm2qlbz,0.28239845261121854,3.876208897485493,0.998693408098057,0.8155136268343816,0.3669064748201439,0.46131528046421666,477,0.4787234042553192,1034,4.174,3.031,5,0.1281658000000001
mmgpaypnopkm1q,0.10882016036655212,6.981672394043528,0.9997264470834905,0.9574468085106383,0.1865671641791045,0.5395189003436426,471,0.5097365406643757,873,6.548,8.911,4,-0.1346178
mmgpciu4e2yunz,0.09064039408866995,7.473891625615764,0.9997976372334331,0.974477958236659,0.13893653516295026,0.4246305418719212,431,0.4916256157635468,1015,3.508,6.944,2,0.3877366
mmgpgi4g1jzpv2,0.11504424778761062,7.409046214355949,0.9970513351604614,0.9009009009009009,0.12762237762237763,0.4365781710914454,444,0.46804326450344147,1017,0.035,7.224,4,-0.16846759999999994
mmgpiq4ct3r8s1,0.24705882352941178,8.792941176470588,0.9961587212310236,0.6831460674157304,0.1707920792079208,0.5235294117647059,445,0.46352941176470586,850,7.09,13.89,2,0.07302700000000001
mmgpqa16u4u07b,0.10344827586206896,6.9574036511156185,0.9999525129214223,0.9570135746606335,0.15285451197053407,0.4482758620689655,442,0.5040567951318459,986,8.267,3.91,1,0.046580000000000094
mmgpy8l4xh9nto,0.42349726775956287,2.6939890710382515,0.999846822421679,0.652605459057072,0.46829971181556196,0.3670309653916211,403,0.49271402550091076,1098,24.711,14.278,1,0.1827488000000001
mmgq3qouddjc6z,0.24024284475281873,3.432784041630529,0.9999734120608191,0.8858858858858859,0.29181929181929184,0.2888117953165655,333,0.49696444058976585,1153,6.688,6.142,1,-0.05686260000000001
mmgqyc7ozjls4u,0.25170731707317073,3.4682926829268292,0.9995708393473225,0.782,0.28435114503816794,0.4878048780487805,500,0.4878048780487805,1025,23.025,12.284,2,-0.11209200000000011
mmgr4s188ypj5i,0.11909448818897637,6.72244094488189,0.9997204592214384,0.918859649122807,0.15026833631484796,0.44881889763779526,456,0.49015748031496065,1016,8.253,7.482,5,0.015648400000000007
mmgr4wtlfg07a6,0.4476987447698745,3.303347280334728,0.9998452964234804,0.5472027972027972,0.4412532637075718,0.5983263598326359,572,0.49267782426778245,956,14.343,11.693,4,0.11069519999999991
mmgr8c41csnx7y,0.2635431918008785,6.8345534407027815,0.9917438279491075,0.7030927835051546,0.18274111675126903,0.7115666178623719,486,0.4465592972181552,683,16.292,17.342,2,0.29250020000000004
mmh0l2c7syhpy7,0.27945472249269715,4.625121713729309,0.9988500292632153,0.7719665271966527,0.3248175182481752,0.46543330087633883,478,0.5199610516066212,1027,9.483,3.923,2,-0.03647349999999999
mmh0l48d4j1y4y,0.6038812785388128,3.3447488584474887,0.9996954126191551,0.3066132264529058,0.4867021276595745,0.5707762557077626,500,0.5102739726027398,876,28.785,15.526,1,0.1780909999999999
mmh0le5hn8utpd,0.12977867203219315,5.498993963782696,0.9999737168803201,0.9271653543307087,0.18969072164948453,0.5110663983903421,508,0.4969818913480885,994,3.598,9.815,2,-0.1563974999999999
mmh0lgop76n6ez,0.19889502762430938,4.148066298342542,0.99935784575519,0.8368121442125237,0.2493368700265252,0.5823204419889503,527,0.4850828729281768,905,28.361,8.64,1,0.009403000000000106
mmh0lku3ip54e4,0.4275724275724276,2.2877122877122877,0.9967659202090546,0.6815533980582524,0.5443298969072164,0.5144855144855145,515,0.46653346653346656,1001,30.774,10.253,1,0.0043600000000000305
mmh0lpcdm9wdcu,0.06857142857142857,26.054285714285715,0.9976432959863937,0.9932432432432432,0.41509433962264153,0.8457142857142858,296,0.5285714285714286,350,28.135,20.134,2,0.35150299999999995
mmh0m3latwun95,0.14641148325358852,5.6976076555023925,0.9998513690015975,0.9176470588235294,0.19063004846526657,0.40669856459330145,425,0.507177033492823,1045,5.858,8.1,3,0.051273999999999986
mmh0mm0schxk59,0.4675972083748754,2.6689930209371884,0.9999820739549017,0.47368421052631576,0.4194139194139194,0.4546360917248255,456,0.5024925224327019,1003,9.033,11.495,1,0.19344499999999998
mmh0mmptqfyu87,0.4797570850202429,1.9008097165991902,0.9990420743634416,0.5321888412017167,0.7037037037037037,0.9433198380566802,466,0.4817813765182186,494,4.385,22.992,6,0.3513114999999999
mmh0nnjg95y0zn,0.15190901705930138,4.948822095857027,0.9994167925619497,0.9102564102564102,0.17320261437908496,0.25345247766043866,312,0.5142160844841592,1231,5.977,7.945,5,-0.0291075
mmh0ocgvf4p325,0.10202020202020202,8.16161616161616,0.9987013172132608,0.9327548806941431,0.13257575757575757,0.46565656565656566,461,0.47878787878787876,990,0.057,5.979,5,0.096231
mmh0opq734nw1a,0.11546840958605664,7.76797385620915,0.9999144011814889,0.9204545454545454,0.1488469601677149,0.4793028322440087,440,0.49455337690631807,918,13.949,6.214,2,-0.031636
mmh0ozswma6i3j,0.09970384995064166,7.496544916090819,0.9999992970479156,0.9472295514511874,0.12796208530805686,0.3741362290227048,379,0.49950641658440276,1013,0.841,8.981,3,-0.021387500000000087
mmh0pa4lgnz2nd,0.22793296089385476,3.8201117318435753,0.999999099469217,0.8406593406593407,0.33620689655172414,0.6100558659217877,546,0.4994413407821229,895,8.637,10.767,1,-0.0503755000000001
mmh0pj6zqdvwmg,0.09669621273166801,6.995165189363417,0.9998309071865779,0.9512820512820512,0.1188235294117647,0.314262691377921,390,0.492344883158743,1241,5.978,5.023,5,-0.1530725000000001
