session_id,approach,accuracy,f1,mcc,n_pred
mmgkzukxb91bym,phase1_train,0.6265822784810127,0.6810810810810811,0.23944370017938535,158
mmglwqjl2idcz3,phase1_train,0.49696969696969695,0.6639676113360324,0.0,165
mmgnnwif7rgnag,phase1_train,0.6923076923076923,0.7241379310344828,0.3912583160487943,156
mmgp4bc84vs4qt,phase1_train,0.6,0.6049382716049383,0.21199751909408754,160
mmgp4tj5hwk1cr,phase1_train,0.3395061728395062,0.3096774193548387,-0.266867667096852,162
mmgp5kmoz5itw5,phase1_train,0.9626865671641791,0.965034965034965,0.9251431344402605,134
mmgp92mez7ni28,phase1_train,0.7544910179640718,0.8209606986899564,0.4545430356267912,167
mmgp978syi159c,phase1_train,0.643312101910828,0.6923076923076923,0.2680652680652681,157
mmgp9zmmm2qlbz,phase1_train,0.5950920245398773,0.484375,0.24840026924803127,163
mmgpaypnopkm1q,phase1_train,0.7834394904458599,0.8,0.5662036431792452,157
mmgpciu4e2yunz,phase1_train,0.740506329113924,0.7484662576687117,0.48197897496024894,158
mmgpgi4g1jzpv2,phase1_train,0.3712574850299401,0.45595854922279794,-0.24274029234994543,167
mmgpiq4ct3r8s1,phase1_train,0.782051282051282,0.8089887640449438,0.5563165583427425,156
mmgpqa16u4u07b,phase1_train,0.675,0.7111111111111111,0.35027182966660275,160
mmgpy8l4xh9nto,phase1_train,0.7371794871794872,0.7875647668393783,0.45412849255408877,156
mmgq3qouddjc6z,phase1_train,0.7317073170731707,0.7634408602150538,0.45558848722638134,164
mmgqyc7ozjls4u,phase1_train,0.7484662576687117,0.7602339181286549,0.4957743130969773,163
mmgr4s188ypj5i,phase1_train,0.7484662576687117,0.7484662576687117,0.5273425499231951,163
mmgr4wtlfg07a6,phase1_train,0.554140127388535,0.5930232558139535,0.101692125268336,157
mmgr8c41csnx7y,phase1_train,0.7515527950310559,0.7468354430379747,0.5219680696868186,161
mmh0l2c7syhpy7,phase1_train,0.74375,0.7897435897435897,0.4667742476498173,160
mmh0l48d4j1y4y,phase1_train,0.6424242424242425,0.7790262172284644,0.08572408331227328,165
mmh0le5hn8utpd,phase1_train,0.6415094339622641,0.6415094339622641,0.29454022988505746,159
mmh0lgop76n6ez,phase1_train,0.7423312883435583,0.7341772151898734,0.49863978990542085,163
mmh0lku3ip54e4,phase1_train,0.775,0.6896551724137931,0.535424694116737,160
mmh0lpcdm9wdcu,phase1_train,0.9788732394366197,0.9806451612903225,0.9582780874988416,142
mmh0m3latwun95,phase1_train,0.5569620253164557,0.5394736842105263,0.14878843108245748,158
mmh0mm0schxk59,phase1_train,0.6951219512195121,0.7282608695652174,0.38441073882310517,164
mmh0mmptqfyu87,phase1_train,0.5220125786163522,0.42424242424242425,0.16602656533810212,159
mmh0nnjg95y0zn,phase1_train,0.61875,0.6965174129353234,0.19006850115941484,160
mmh0ocgvf4p325,phase1_train,0.7044025157232704,0.6928104575163399,0.4174590274288363,159
mmh0opq734nw1a,phase1_train,0.7215189873417721,0.725,0.4431800195652587,158
mmh0ozswma6i3j,phase1_train,0.7218934911242604,0.7283236994219653,0.4435258021730047,169
mmh0pa4lgnz2nd,phase1_train,0.4968944099378882,0.5668449197860963,-0.015980661394686548,161
mmh0pj6zqdvwmg,phase1_train,0.6419753086419753,0.6588235294117647,0.28298509978716346,162
mmh0pjhqfbciu8,phase1_train,0.8598726114649682,0.8791208791208791,0.7136202305763953,157
mmh0puch6r88f0,phase1_train,0.8089171974522293,0.8214285714285714,0.6183333311979953,157
mmh0r154h7irg3,phase1_train,0.7090909090909091,0.7209302325581395,0.42237231778011475,165
mmh0r34rqnesgg,phase1_train,0.8282208588957055,0.8426966292134831,0.6659877081485668,163
mmh0rqn6g1cadb,phase1_train,0.725,0.8053097345132744,0.37205891249168593,160
mmh0tro0khha5x,phase1_train,0.703030303030303,0.6993865030674846,0.4122514658837461,165
mmh0uacrkmrg83,phase1_train,0.7300613496932515,0.7659574468085106,0.45531694028831843,163
mmh0ueb9o9dis7,phase1_train,0.7950310559006211,0.8070175438596491,0.5885361951496068,161
mmh0vbvu4yn6l1,phase1_train,0.4591194968553459,0.5,-0.08540362279781494,159
mmh0vh7gck5q8n,phase1_train,0.7317073170731707,0.7582417582417582,0.4711571054042948,164
mmh0wavycmn4y3,phase1_train,0.6794871794871795,0.6575342465753424,0.3953424857805229,156
mmh0x9u4kgtvxn,phase1_train,0.6730769230769231,0.7182320441988951,0.33353488202885906,156
mmh0yegg0emahk,phase1_train,0.7631578947368421,0.8,0.5141228616029305,152
mmh115pr1lsvkw,phase1_train,0.6809815950920245,0.7346938775510204,0.34244711703826364,163
mmh16ou0ocswzc,phase1_train,0.6962025316455697,0.7333333333333333,0.38244744079877047,158
mmh19xdl74m2p5,phase1_train,0.7735849056603774,0.8144329896907216,0.5508471435784646,159
mmh1cyh0ahaw8s,phase1_train,0.6832298136645962,0.7329842931937173,0.3596784938428308,161
mmh1eq07kkdfkw,phase1_train,0.6024844720496895,0.5428571428571428,0.2144208347337661,161
mmh1jfrxrszco0,phase1_train,0.79375,0.8092485549132948,0.6317829850497668,160
mmh1qje9negjr0,phase1_train,0.8598726114649682,0.8865979381443299,0.7109749832196623,157
mmh1sestgp7zew,phase1_train,0.6645962732919255,0.7032967032967034,0.3310721578701821,161
mmh1tezp242ppu,phase1_train,0.5849056603773585,0.7,0.05524883999606269,159
mmh1wzqpu4iob1,phase1_train,0.810126582278481,0.810126582278481,0.6205128205128205,158
mmh250jg0prrne,phase1_train,0.6842105263157895,0.7303370786516854,0.3991669979902644,152
mmh28cu87aoonk,phase1_train,0.6602564102564102,0.5470085470085471,0.4642841503820857,156
mmgkzukxb91bym,expanding_window,0.6510067114093959,0.6941176470588235,0.3122265447392345,149
mmglwqjl2idcz3,expanding_window,0.9261744966442953,0.9251700680272109,0.8530738583118157,149
mmgnnwif7rgnag,expanding_window,0.5704697986577181,0.673469387755102,0.06768678403529094,149
mmgp4bc84vs4qt,expanding_window,0.6040268456375839,0.6193548387096774,0.21119614986236718,149
mmgp4tj5hwk1cr,expanding_window,0.6510067114093959,0.7425742574257426,0.23343016943479236,149
mmgp5kmoz5itw5,expanding_window,0.9731543624161074,0.9767441860465116,0.9453657301648936,149
mmgp92mez7ni28,expanding_window,0.6778523489932886,0.7525773195876289,0.30075691063654486,149
mmgp978syi159c,expanding_window,0.6375838926174496,0.6625,0.2826088724544129,149
mmgp9zmmm2qlbz,expanding_window,0.6375838926174496,0.6029411764705882,0.2931690352831691,149
mmgpaypnopkm1q,expanding_window,0.785234899328859,0.7974683544303798,0.5700355973915344,149
mmgpciu4e2yunz,expanding_window,0.5570469798657718,0.547945205479452,0.1267335258245525,149
mmgpgi4g1jzpv2,expanding_window,0.5637583892617449,0.5806451612903226,0.1705348098784997,149
mmgpiq4ct3r8s1,expanding_window,0.7718120805369127,0.7926829268292683,0.5400809233622264,149
mmgpqa16u4u07b,expanding_window,0.5838926174496645,0.5921052631578947,0.21020826653188177,149
mmgpy8l4xh9nto,expanding_window,0.6577181208053692,0.6946107784431138,0.30535788284721027,149
mmgq3qouddjc6z,expanding_window,0.697986577181208,0.7368421052631579,0.38257584516023396,149
mmgqyc7ozjls4u,expanding_window,0.697986577181208,0.697986577181208,0.3965392934390771,149
mmgr4s188ypj5i,expanding_window,0.7651006711409396,0.7651006711409396,0.5554945054945055,149
mmgr4wtlfg07a6,expanding_window,0.6174496644295302,0.583941605839416,0.2788076831675313,149
mmgr8c41csnx7y,expanding_window,0.738255033557047,0.7417218543046358,0.5008273602744951,149
mmh0l2c7syhpy7,expanding_window,0.7583892617449665,0.8064516129032258,0.4862136484127163,149
mmh0l48d4j1y4y,expanding_window,0.6778523489932886,0.7391304347826086,0.3348524850414457,149
mmh0le5hn8utpd,expanding_window,0.5637583892617449,0.5806451612903226,0.13475516213612748,149
mmh0lgop76n6ez,expanding_window,0.7986577181208053,0.8026315789473685,0.5974401450645302,149
mmh0lku3ip54e4,expanding_window,0.37583892617449666,0.4745762711864407,-0.18045174475853562,149
mmh0lpcdm9wdcu,expanding_window,0.9798657718120806,0.9820359281437125,0.9592260200098592,149
mmh0m3latwun95,expanding_window,0.6644295302013423,0.6987951807228916,0.32024985378680126,149
mmh0mm0schxk59,expanding_window,0.4429530201342282,0.5561497326203209,-0.1422220467345177,149
mmh0mmptqfyu87,expanding_window,0.5973154362416108,0.5714285714285714,0.3180089878555568,149
mmh0nnjg95y0zn,expanding_window,0.5637583892617449,0.6408839779005525,0.0895290169227275,149
mmh0ocgvf4p325,expanding_window,0.6912751677852349,0.684931506849315,0.39133009821969533,149
mmh0opq734nw1a,expanding_window,0.7516778523489933,0.7549668874172185,0.5033339422154572,149
mmh0ozswma6i3j,expanding_window,0.697986577181208,0.7204968944099379,0.3971797244750504,149
mmh0pa4lgnz2nd,expanding_window,0.6778523489932886,0.6129032258064516,0.4048878533881596,149
mmh0pj6zqdvwmg,expanding_window,0.7181208053691275,0.7666666666666667,0.46648537120069905,149
mmh0pjhqfbciu8,expanding_window,0.8523489932885906,0.8674698795180723,0.7020595782297133,149
mmh0puch6r88f0,expanding_window,0.7449664429530202,0.7361111111111112,0.5167374450563765,149
mmh0r154h7irg3,expanding_window,0.738255033557047,0.7346938775510204,0.4958943003905087,149
mmh0r34rqnesgg,expanding_window,0.825503355704698,0.8311688311688312,0.6699083573253938,149
mmh0rqn6g1cadb,expanding_window,0.6644295302013423,0.6835443037974683,0.3997124309974123,149
mmh0tro0khha5x,expanding_window,0.7583892617449665,0.7662337662337663,0.5162337662337663,149
mmh0uacrkmrg83,expanding_window,0.7986577181208053,0.8148148148148148,0.5988979311280265,149
mmh0ueb9o9dis7,expanding_window,0.738255033557047,0.7450980392156863,0.4912641653652359,149
mmh0vbvu4yn6l1,expanding_window,0.5302013422818792,0.5783132530120482,0.05495268905015457,149
mmh0vh7gck5q8n,expanding_window,0.785234899328859,0.7837837837837838,0.5707334747570186,149
mmh0wavycmn4y3,expanding_window,0.7449664429530202,0.75,0.5118043028380285,149
mmh0x9u4kgtvxn,expanding_window,0.6510067114093959,0.6486486486486487,0.32126574860032836,149
mmh0yegg0emahk,expanding_window,0.825503355704698,0.8539325842696629,0.6401152599619813,149
mmh115pr1lsvkw,expanding_window,0.6241610738255033,0.6781609195402298,0.24144583625951777,149
mmh16ou0ocswzc,expanding_window,0.7114093959731543,0.7189542483660131,0.43020646741351104,149
mmh19xdl74m2p5,expanding_window,0.7516778523489933,0.7978142076502732,0.5088921042054597,149
mmh1cyh0ahaw8s,expanding_window,0.6577181208053692,0.6909090909090909,0.3460222987762762,149
mmh1eq07kkdfkw,expanding_window,0.6778523489932886,0.6883116883116883,0.3571828834377658,149
mmh1jfrxrszco0,expanding_window,0.8590604026845637,0.8695652173913043,0.7391963724405407,149
mmh1qje9negjr0,expanding_window,0.8657718120805369,0.8958333333333334,0.7104083461707432,149
mmh1sestgp7zew,expanding_window,0.8322147651006712,0.8387096774193549,0.663959671398688,149
mmh1tezp242ppu,expanding_window,0.7248322147651006,0.7807486631016043,0.41315063351767745,149
mmh1wzqpu4iob1,expanding_window,0.7785234899328859,0.7755102040816326,0.5587229406412438,149
mmh250jg0prrne,expanding_window,0.7449664429530202,0.7654320987654321,0.4958471611621812,149
