session_id,model,accuracy,f1,mcc
mmgkzukxb91bym,mvt_threshold,0.8538899430740038,0.8610108303249098,0.7071652425785642
mmgkzukxb91bym,patch_leaving,0.5863377609108159,0.564,0.1854073773824621
mmgkzukxb91bym,softmax_mvt,0.7191650853889943,0.759349593495935,0.43923332703738305
mmglwqjl2idcz3,mvt_threshold,0.8953687821612349,0.9017713365539453,0.7901048783375283
mmglwqjl2idcz3,patch_leaving,0.902229845626072,0.909952606635071,0.8031452602568298
mmglwqjl2idcz3,softmax_mvt,0.6003430531732419,0.6889185580774366,0.18746373902562755
mmgnnwif7rgnag,mvt_threshold,0.7007389162561576,0.6880616174582799,0.40281063510163395
mmgnnwif7rgnag,patch_leaving,0.708128078817734,0.7077681874229347,0.4162574202784938
mmgnnwif7rgnag,softmax_mvt,0.603448275862069,0.6740890688259109,0.22959047984548286
mmgp4bc84vs4qt,mvt_threshold,0.7515808491418248,0.7488584474885844,0.5038704592689178
mmgp4bc84vs4qt,patch_leaving,0.4670280036133695,0.4939965694682676,-0.061908185171045675
mmgp4bc84vs4qt,softmax_mvt,0.6214995483288166,0.6703383162863886,0.26921646691519524
mmgp4tj5hwk1cr,mvt_threshold,0.7023686920700309,0.7041965199590583,0.404835352133227
mmgp4tj5hwk1cr,patch_leaving,0.5417095777548918,0.5300950369588173,0.08336594201111469
mmgp4tj5hwk1cr,softmax_mvt,0.6519052523171988,0.687037037037037,0.31272267862602887
mmgp5kmoz5itw5,mvt_threshold,0.8767123287671232,0.8941176470588236,0.7473529386475763
mmgp5kmoz5itw5,patch_leaving,0.8904109589041096,0.9075144508670521,0.773060669354447
mmgp5kmoz5itw5,softmax_mvt,0.7123287671232876,0.7868020304568528,0.3909742093585913
mmgp92mez7ni28,mvt_threshold,0.8494897959183674,0.8589641434262948,0.6978935306617793
mmgp92mez7ni28,patch_leaving,0.40561224489795916,0.39270199826238056,-0.18092395117146148
mmgp92mez7ni28,softmax_mvt,0.7159863945578231,0.7657784011220197,0.43225222784035966
mmgp978syi159c,mvt_threshold,0.7264344262295082,0.7094668117519043,0.4541047182045623
mmgp978syi159c,patch_leaving,0.6495901639344263,0.6377118644067796,0.29897246443948494
mmgp978syi159c,softmax_mvt,0.6260245901639344,0.6432062561094819,0.2549115101892674
mmgp9zmmm2qlbz,mvt_threshold,0.6740812379110251,0.666005946481665,0.348236841619966
mmgp9zmmm2qlbz,patch_leaving,0.6247582205029013,0.6332703213610587,0.2545417990997266
mmgp9zmmm2qlbz,softmax_mvt,0.5870406189555126,0.6365957446808511,0.19775311405487564
mmgpaypnopkm1q,mvt_threshold,0.8579610538373424,0.8612975391498882,0.7157936923793738
mmgpaypnopkm1q,patch_leaving,0.7056128293241696,0.7049368541905855,0.4118913489762744
mmgpaypnopkm1q,softmax_mvt,0.6529209621993127,0.7394668959587274,0.3838189705213648
mmgpciu4e2yunz,mvt_threshold,0.8857142857142857,0.8835341365461847,0.7713553319510268
mmgpciu4e2yunz,patch_leaving,0.6492610837438424,0.6570327552986512,0.3001825649186938
mmgpciu4e2yunz,softmax_mvt,0.670935960591133,0.7275693311582382,0.3872605301737279
mmgpgi4g1jzpv2,mvt_threshold,0.856440511307768,0.8472803347280334,0.7118709994750159
mmgpgi4g1jzpv2,patch_leaving,0.5221238938053098,0.5197628458498024,0.04787205952725811
