session_id,scope,phase_id,sample_entropy,n_points
mmgkzukxb91bym,full_session,0,0.3677435554132838,1054
mmgkzukxb91bym,phase_1,1,0.44697760201243497,266
mmgkzukxb91bym,phase_2,2,0.2676206653193023,260
mmgkzukxb91bym,phase_3,3,0.2643793510628183,263
mmgkzukxb91bym,phase_4,4,0.350680582623378,265
mmglwqjl2idcz3,full_session,0,0.10553209441679692,583
mmglwqjl2idcz3,phase_1,1,0.09650215398690906,125
mmglwqjl2idcz3,phase_2,2,0.07974299240079977,164
mmglwqjl2idcz3,phase_3,3,0.03672667647707898,172
mmglwqjl2idcz3,phase_4,4,0.7884573603642702,122
mmgnnwif7rgnag,full_session,0,0.6081390443803204,812
mmgnnwif7rgnag,phase_1,1,0.26444289002413657,220
mmgnnwif7rgnag,phase_2,2,0.7368917295228022,230
mmgnnwif7rgnag,phase_3,3,0.6354270478455162,226
mmgnnwif7rgnag,phase_4,4,1.0192387011265973,136
mmgp4bc84vs4qt,full_session,0,0.6319530864885428,1107
mmgp4bc84vs4qt,phase_1,1,0.5754305614014442,268
mmgp4bc84vs4qt,phase_2,2,0.5335651107354801,255
mmgp4bc84vs4qt,phase_3,3,0.2862713033487631,286
mmgp4bc84vs4qt,phase_4,4,0.522317131687244,298
mmgp4tj5hwk1cr,full_session,0,0.8589620473033337,971
mmgp4tj5hwk1cr,phase_1,1,0.6925963680976579,222
mmgp4tj5hwk1cr,phase_2,2,1.035050807178365,232
mmgp4tj5hwk1cr,phase_3,3,0.587786664902119,255
mmgp4tj5hwk1cr,phase_4,4,0.5303957199600879,262
mmgp5kmoz5itw5,full_session,0,0.3977456537654875,292
mmgp5kmoz5itw5,phase_1,1,0.37569294977449424,120
mmgp5kmoz5itw5,phase_2,2,,11
mmgp5kmoz5itw5,phase_3,3,0.3610133455373305,83
mmgp5kmoz5itw5,phase_4,4,0.4562374334815876,78
mmgp92mez7ni28,full_session,0,0.38260891955696624,1176
mmgp92mez7ni28,phase_1,1,0.5211495071076266,237
mmgp92mez7ni28,phase_2,2,0.34137391419791385,301
mmgp92mez7ni28,phase_3,3,0.2779462514616994,322
mmgp92mez7ni28,phase_4,4,0.31538467500111667,316
mmgp978syi159c,full_session,0,0.6676940221100278,976
mmgp978syi159c,phase_1,1,0.6210793315211677,254
mmgp978syi159c,phase_2,2,0.5464592219342765,242
mmgp978syi159c,phase_3,3,0.6374274680266289,245
mmgp978syi159c,phase_4,4,0.6341910134268256,235
mmgp9zmmm2qlbz,full_session,0,0.772232697827127,1034
mmgp9zmmm2qlbz,phase_1,1,0.5758873333754534,229
mmgp9zmmm2qlbz,phase_2,2,0.6681531448194293,245
mmgp9zmmm2qlbz,phase_3,3,0.7479010381974267,278
mmgp9zmmm2qlbz,phase_4,4,0.9169564369913837,282
mmgpaypnopkm1q,full_session,0,0.3637371851969851,873
mmgpaypnopkm1q,phase_1,1,0.3631896249599261,230
mmgpaypnopkm1q,phase_2,2,0.3328190682734494,212
mmgpaypnopkm1q,phase_3,3,0.36269543172031543,205
mmgpaypnopkm1q,phase_4,4,0.3269822484363647,226
mmgpciu4e2yunz,full_session,0,0.30657222266161244,1015
mmgpciu4e2yunz,phase_1,1,0.36037908971950866,255
mmgpciu4e2yunz,phase_2,2,0.2876820724517809,253
mmgpciu4e2yunz,phase_3,3,0.2459177611087517,248
mmgpciu4e2yunz,phase_4,4,0.29096830610259966,259
mmgpgi4g1jzpv2,full_session,0,0.3465230745380693,1017
mmgpgi4g1jzpv2,phase_1,1,0.5051793586122174,204
mmgpgi4g1jzpv2,phase_2,2,0.28802712611104797,272
mmgpgi4g1jzpv2,phase_3,3,0.331117471483553,277
mmgpgi4g1jzpv2,phase_4,4,0.3117796240308415,264
mmgpiq4ct3r8s1,full_session,0,0.2675415930638735,850
mmgpiq4ct3r8s1,phase_1,1,0.0916921528316685,225
mmgpiq4ct3r8s1,phase_2,2,0.6251741969737392,269
mmgpiq4ct3r8s1,phase_3,3,0.053758871599308554,103
mmgpiq4ct3r8s1,phase_4,4,0.5159935939244333,253
mmgpqa16u4u07b,full_session,0,0.3630085362182817,986
mmgpqa16u4u07b,phase_1,1,0.41713632812476403,236
mmgpqa16u4u07b,phase_2,2,0.3628382916464011,235
mmgpqa16u4u07b,phase_3,3,0.19277601469781355,270
mmgpqa16u4u07b,phase_4,4,0.39161559957179987,245
mmgpy8l4xh9nto,full_session,0,0.9081316754645624,1098
mmgpy8l4xh9nto,phase_1,1,0.9076525501196564,295
mmgpy8l4xh9nto,phase_2,2,0.7808265283745451,278
mmgpy8l4xh9nto,phase_3,3,0.7532060314984877,272
mmgpy8l4xh9nto,phase_4,4,0.7577985112187597,253
mmgq3qouddjc6z,full_session,0,0.7523178826441385,1153
mmgq3qouddjc6z,phase_1,1,0.6649321427594852,253
mmgq3qouddjc6z,phase_2,2,0.6673616457196073,292
mmgq3qouddjc6z,phase_3,3,0.7002900680723254,308
