phase_id,label,n_clicks,n_sessions,mean_choice_prop_a,sd_choice_prop_a,mean_reward_rate,sd_reward_rate,mean_switch_rate,sd_switch_rate,mean_ici_s,sd_ici_s,mean_proportion_optimal,sd_proportion_optimal
1,Symmetric baseline,13436,60,0.5078588020866616,0.06284492679999534,0.7054965232703805,0.17467561499937698,0.27667073809758336,0.21222152049287646,0.41638134604506166,0.10897808939651327,0.4829275572600411,0.11214177800527296
2,A advantage,14111,60,0.6493833654583696,0.08246330400995402,0.6170104236776257,0.17611289435656433,0.21079183584730993,0.14763687051994087,0.4142495714244269,0.1806139205227768,0.5745357634141808,0.0781099183223117
3,B advantage,14402,60,0.35338094586461266,0.07635455656189225,0.6021117598153917,0.19406830230690242,0.18730429510904428,0.13866971552862228,0.4217484876980034,0.24199549031630838,0.5262775218326844,0.12035964736072544
4,Scarcity + pulses,13505,60,0.4902665991758047,0.0357653408754438,0.23039288916633424,0.21722137356726956,0.30449374722619876,0.19247452531124098,0.4500144039144523,0.19399110011407164,0.42259423589605694,0.12842065279932213
