session_id,model,split,accuracy,f1,mcc
mmgkzukxb91bym,xgboost,75_25,0.7462121212121212,0.7845659163987139,0.4877240674111269
mmgkzukxb91bym,nn_engineered,75_25,0.6818181818181818,0.7586206896551724,0.37625606633113623
mmgkzukxb91bym,nn_raw,75_25,0.7969348659003831,0.8306709265175719,0.5927728052653962
mmgkzukxb91bym,xgboost,phase1_rest,0.7753807106598984,0.802675585284281,0.5463249330818096
mmgkzukxb91bym,nn_engineered,phase1_rest,0.7538071065989848,0.75,0.5232056797214701
mmgkzukxb91bym,nn_raw,phase1_rest,0.5406091370558376,0.44984802431610943,0.12931094048003194
mmglwqjl2idcz3,xgboost,75_25,0.7465753424657534,0.7448275862068966,0.5460040158704673
mmglwqjl2idcz3,nn_engineered,75_25,0.6095890410958904,0.6545454545454545,0.34939689723340533
mmglwqjl2idcz3,nn_raw,75_25,0.5972222222222222,0.3829787234042553,0.12048358329891926
mmglwqjl2idcz3,xgboost,phase1_rest,0.8624454148471615,0.8633405639913232,0.7267313227078307
mmglwqjl2idcz3,nn_engineered,phase1_rest,0.8144104803493449,0.8355899419729207,0.6637769902552578
mmglwqjl2idcz3,nn_raw,phase1_rest,0.777292576419214,0.7681818181818182,0.554163539067441
mmgnnwif7rgnag,xgboost,75_25,0.625615763546798,0.5529411764705883,0.2310312636664429
mmgnnwif7rgnag,nn_engineered,75_25,0.6847290640394089,0.5949367088607594,0.3403829602110095
mmgnnwif7rgnag,nn_raw,75_25,0.5771144278606966,0.5812807881773399,0.1946308962112365
mmgnnwif7rgnag,xgboost,phase1_rest,0.7010135135135135,0.7035175879396985,0.40202037644108407
mmgnnwif7rgnag,nn_engineered,phase1_rest,0.5760135135135135,0.33421750663129973,0.22595457497863378
mmgnnwif7rgnag,nn_raw,phase1_rest,0.5709459459459459,0.6080246913580247,0.14376861162529686
mmgp4bc84vs4qt,xgboost,75_25,0.7472924187725631,0.7222222222222222,0.49327499889856313
mmgp4bc84vs4qt,nn_engineered,75_25,0.6028880866425993,0.5299145299145299,0.20071685000895556
mmgp4bc84vs4qt,nn_raw,75_25,0.8181818181818182,0.8134328358208955,0.6369079924012456
mmgp4bc84vs4qt,xgboost,phase1_rest,0.5840286054827175,0.6126526082130965,0.1734434010188994
mmgp4bc84vs4qt,nn_engineered,phase1_rest,0.6579261025029798,0.6627497062279671,0.3170766358612296
mmgp4bc84vs4qt,nn_raw,phase1_rest,0.6293206197854588,0.5814266487213997,0.26077947995323403
mmgp4tj5hwk1cr,xgboost,75_25,0.49382716049382713,0.5176470588235295,-0.014669937612417947
mmgp4tj5hwk1cr,nn_engineered,75_25,0.7407407407407407,0.749003984063745,0.4809440025038484
mmgp4tj5hwk1cr,nn_raw,75_25,0.7385892116182573,0.7657992565055762,0.4775434363421092
mmgp4tj5hwk1cr,xgboost,phase1_rest,0.5126835781041389,0.35168738898756663,0.03162137952565392
mmgp4tj5hwk1cr,nn_engineered,phase1_rest,0.520694259012016,0.11358024691358025,0.11684485562148077
mmgp4tj5hwk1cr,nn_raw,phase1_rest,0.5500667556742324,0.5402455661664393,0.10043119204925113
mmgp5kmoz5itw5,xgboost,75_25,0.8493150684931506,0.8764044943820225,0.7263931847309206
mmgp5kmoz5itw5,nn_engineered,75_25,0.5205479452054794,0.6788990825688074,-0.05495618647565657
mmgp5kmoz5itw5,nn_raw,75_25,0.4647887323943662,0.3448275862068966,-0.027917461691377418
mmgp5kmoz5itw5,xgboost,phase1_rest,0.7441860465116279,0.7884615384615384,0.5465805564778069
mmgp5kmoz5itw5,nn_engineered,phase1_rest,0.4883720930232558,0.6535433070866141,-0.04596390705862674
mmgp5kmoz5itw5,nn_raw,phase1_rest,0.5290697674418605,0.6582278481012658,0.10461062468872463
mmgp92mez7ni28,xgboost,75_25,0.8639455782312925,0.875,0.7309477787778155
mmgp92mez7ni28,nn_engineered,75_25,0.7891156462585034,0.8037974683544303,0.5832550942753513
mmgp92mez7ni28,nn_raw,75_25,0.928082191780822,0.9373134328358209,0.8529987510019501
mmgp92mez7ni28,xgboost,phase1_rest,0.7742279020234292,0.7937743190661478,0.5447112605477009
mmgp92mez7ni28,nn_engineered,phase1_rest,0.47816826411075614,0.3039772727272727,0.0033197511207018137
mmgp92mez7ni28,nn_raw,phase1_rest,0.46006389776357826,0.0,0.0
mmgp978syi159c,xgboost,75_25,0.680327868852459,0.6486486486486487,0.3737363265553444
mmgp978syi159c,nn_engineered,75_25,0.5778688524590164,0.5118483412322274,0.17064145291635038
mmgp978syi159c,nn_raw,75_25,0.6157024793388429,0.6666666666666666,0.23677662206273226
mmgp978syi159c,xgboost,phase1_rest,0.6343490304709142,0.5111111111111111,0.3399856659560121
mmgp978syi159c,nn_engineered,phase1_rest,0.6925207756232687,0.6605504587155964,0.4026360411379911
mmgp978syi159c,nn_raw,phase1_rest,0.5457063711911357,0.48427672955974843,0.10441313155653174
mmgp9zmmm2qlbz,xgboost,75_25,0.5637065637065637,0.6646884272997032,0.23061688613015427
mmgp9zmmm2qlbz,nn_engineered,75_25,0.5714285714285714,0.5276595744680851,0.13627235691345757
mmgp9zmmm2qlbz,nn_raw,75_25,0.453125,0.554140127388535,-0.06185710021525316
mmgp9zmmm2qlbz,xgboost,phase1_rest,0.5888198757763975,0.5167883211678832,0.1788264418894305
mmgp9zmmm2qlbz,nn_engineered,phase1_rest,0.6683229813664596,0.5972850678733032,0.34949923584874143
mmgp9zmmm2qlbz,nn_raw,phase1_rest,0.5105590062111801,0.0,0.0
mmgpaypnopkm1q,xgboost,75_25,0.6467889908256881,0.6010362694300518,0.3734379395723702
mmgpaypnopkm1q,nn_engineered,75_25,0.6834862385321101,0.7063829787234043,0.3680101090933649
mmgpaypnopkm1q,nn_raw,75_25,0.8888888888888888,0.905511811023622,0.7721307115745352
mmgpaypnopkm1q,xgboost,phase1_rest,0.7620528771384136,0.7495908346972177,0.5297944506289385
mmgpaypnopkm1q,nn_engineered,phase1_rest,0.76049766718507,0.7638036809815951,0.5209161920646248
mmgpaypnopkm1q,nn_raw,phase1_rest,0.49144634525660963,0.0,0.0
mmgpciu4e2yunz,xgboost,75_25,0.7755905511811023,0.7849056603773585,0.5770448657678608
mmgpciu4e2yunz,nn_engineered,75_25,0.5905511811023622,0.6510067114093959,0.2434511486321965
mmgpciu4e2yunz,nn_raw,75_25,0.8214285714285714,0.8085106382978723,0.6414589246841694
mmgpciu4e2yunz,xgboost,phase1_rest,0.8473684210526315,0.8328530259365994,0.6992899176496564
mmgpciu4e2yunz,nn_engineered,phase1_rest,0.75,0.7588832487309645,0.5048458580425714
mmgpciu4e2yunz,nn_raw,phase1_rest,0.5486842105263158,0.2839248434237996,0.11518862550926953
mmgpgi4g1jzpv2,xgboost,75_25,0.8779527559055118,0.8646288209606987,0.7597674811402889
mmgpgi4g1jzpv2,nn_engineered,75_25,0.7992125984251969,0.7487684729064039,0.62720665523005
mmgpgi4g1jzpv2,nn_raw,75_25,0.8650793650793651,0.8583333333333333,0.7295454545454545
mmgpgi4g1jzpv2,xgboost,phase1_rest,0.6728167281672817,0.6763990267639902,0.3567961571203344
mmgpgi4g1jzpv2,nn_engineered,phase1_rest,0.6531365313653137,0.4149377593360996,0.36587585456897714
mmgpgi4g1jzpv2,nn_raw,phase1_rest,0.5399753997539976,0.0,0.0
mmgpiq4ct3r8s1,xgboost,75_25,0.6995305164319249,0.7264957264957265,0.44494316197454425
mmgpiq4ct3r8s1,nn_engineered,75_25,0.6854460093896714,0.524822695035461,0.3949875521673717
mmgpiq4ct3r8s1,nn_raw,75_25,0.7952380952380952,0.7962085308056872,0.6035943564810059
mmgpiq4ct3r8s1,xgboost,phase1_rest,0.72,0.7097844112769486,0.4412609980080498
mmgpiq4ct3r8s1,nn_engineered,phase1_rest,0.64,0.5454545454545454,0.2725286649918194
mmgpiq4ct3r8s1,nn_raw,phase1_rest,0.536,0.0,0.0
mmgpqa16u4u07b,xgboost,75_25,0.8137651821862348,0.8174603174603174,0.6274844548704639
mmgpqa16u4u07b,nn_engineered,75_25,0.6558704453441295,0.6413502109704642,0.3142603700581548
mmgpqa16u4u07b,nn_raw,75_25,0.8155737704918032,0.8275862068965517,0.6373656815285929
mmgpqa16u4u07b,xgboost,phase1_rest,0.7813333333333333,0.7980295566502463,0.5667035600046337
mmgpqa16u4u07b,nn_engineered,phase1_rest,0.748,0.724087591240876,0.5082866671863694
mmgpqa16u4u07b,nn_raw,phase1_rest,0.492,0.0,0.0
mmgpy8l4xh9nto,xgboost,75_25,0.6254545454545455,0.6171003717472119,0.2533550898365301
mmgpy8l4xh9nto,nn_engineered,75_25,0.5490909090909091,0.5118110236220472,0.10442164752190324
mmgpy8l4xh9nto,nn_raw,75_25,0.5698529411764706,0.5714285714285714,0.1409434157257039
mmgpy8l4xh9nto,xgboost,phase1_rest,0.4383561643835616,0.46117084826762245,-0.12175789511894468
mmgpy8l4xh9nto,nn_engineered,phase1_rest,0.4931506849315068,0.4721141374837873,-0.014966764119065541
mmgpy8l4xh9nto,nn_raw,phase1_rest,0.5093399750933998,0.052884615384615384,-0.0038314908915896943
mmgq3qouddjc6z,xgboost,75_25,0.7222222222222222,0.7560975609756098,0.4597571769728217
mmgq3qouddjc6z,nn_engineered,75_25,0.625,0.5178571428571429,0.28368597417998964
mmgq3qouddjc6z,nn_raw,75_25,0.7027972027972028,0.7249190938511327,0.40800343785961957
mmgq3qouddjc6z,xgboost,phase1_rest,0.65,0.6997140133460439,0.31388911327086744
mmgq3qouddjc6z,nn_engineered,phase1_rest,0.6677777777777778,0.6527293844367015,0.3379647224233705
mmgq3qouddjc6z,nn_raw,phase1_rest,0.4955555555555556,0.0,0.0
mmgqyc7ozjls4u,xgboost,75_25,0.6640625,0.6742424242424242,0.3294998549376916
mmgqyc7ozjls4u,nn_engineered,75_25,0.55078125,0.25806451612903225,0.152930318821518
mmgqyc7ozjls4u,nn_raw,75_25,0.6929133858267716,0.6854838709677419,0.3858278557786398
mmgqyc7ozjls4u,xgboost,phase1_rest,0.5671267252195734,0.5887961859356377,0.13898399897705724
mmgqyc7ozjls4u,nn_engineered,phase1_rest,0.5269761606022585,0.1857451403887689,0.05578247641540002
mmgqyc7ozjls4u,nn_raw,phase1_rest,0.5131744040150564,0.0,0.0
