session_id,model,phase,accuracy,f1,mcc
mmgp4bc84vs4qt,hmm_4state,Ph 4,0.5738255033557047,0.22085889570552147,0.26044675524043476
mmgp4tj5hwk1cr,hmm_2state,Full,1.0,1.0,1.0
mmgp4tj5hwk1cr,hmm_2state,Ph 1,1.0,1.0,1.0
mmgp4tj5hwk1cr,hmm_2state,Ph 2,1.0,1.0,1.0
mmgp4tj5hwk1cr,hmm_2state,Ph 3,1.0,1.0,1.0
mmgp4tj5hwk1cr,hmm_2state,Ph 4,1.0,1.0,1.0
mmgp4tj5hwk1cr,hmm_3state,Full,0.7353244078269825,0.6385372714486639,0.5540746242505835
mmgp4tj5hwk1cr,hmm_3state,Ph 1,0.5720720720720721,0.21487603305785125,0.2562353715952691
mmgp4tj5hwk1cr,hmm_3state,Ph 2,0.521551724137931,0.418848167539267,0.33429772192974516
mmgp4tj5hwk1cr,hmm_3state,Ph 3,0.8588235294117647,0.76,0.7081428356340436
mmgp4tj5hwk1cr,hmm_3state,Ph 4,0.9427480916030534,0.9397590361445783,0.891443125720864
mmgp4tj5hwk1cr,hmm_4state,Full,0.9979402677651905,0.9979296066252588,0.995888894298396
mmgp4tj5hwk1cr,hmm_4state,Ph 1,0.9954954954954955,0.9953488372093023,0.9910225042171011
mmgp4tj5hwk1cr,hmm_4state,Ph 2,0.9956896551724138,0.9966777408637874,0.9905872621276315
mmgp4tj5hwk1cr,hmm_4state,Ph 3,1.0,1.0,1.0
mmgp4tj5hwk1cr,hmm_4state,Ph 4,1.0,1.0,1.0
mmgp5kmoz5itw5,hmm_2state,Full,0.5924657534246576,0.7440860215053764,0.0
mmgp5kmoz5itw5,hmm_2state,Ph 1,0.7333333333333333,0.8461538461538461,0.0
mmgp5kmoz5itw5,hmm_2state,Ph 2,0.9090909090909091,0.9523809523809523,0.0
mmgp5kmoz5itw5,hmm_2state,Ph 3,0.43373493975903615,0.6050420168067226,0.0
mmgp5kmoz5itw5,hmm_2state,Ph 4,0.5,0.6666666666666666,0.0
mmgp5kmoz5itw5,hmm_3state,Full,0.5924657534246576,0.7440860215053764,0.0
mmgp5kmoz5itw5,hmm_3state,Ph 1,0.7333333333333333,0.8461538461538461,0.0
mmgp5kmoz5itw5,hmm_3state,Ph 2,0.9090909090909091,0.9523809523809523,0.0
mmgp5kmoz5itw5,hmm_3state,Ph 3,0.43373493975903615,0.6050420168067226,0.0
mmgp5kmoz5itw5,hmm_3state,Ph 4,0.5,0.6666666666666666,0.0
mmgp5kmoz5itw5,hmm_4state,Full,0.9623287671232876,0.969187675070028,0.9237459282764429
mmgp5kmoz5itw5,hmm_4state,Ph 1,0.975,0.9832402234636871,0.9361482929395463
mmgp5kmoz5itw5,hmm_4state,Ph 2,0.9090909090909091,0.9523809523809523,0.0
mmgp5kmoz5itw5,hmm_4state,Ph 3,1.0,1.0,1.0
mmgp5kmoz5itw5,hmm_4state,Ph 4,0.9102564102564102,0.9176470588235294,0.8340576562282991
mmgp92mez7ni28,hmm_2state,Full,0.5399659863945578,0.7012700165654334,0.0
mmgp92mez7ni28,hmm_2state,Ph 1,0.540084388185654,0.7013698630136986,0.0
mmgp92mez7ni28,hmm_2state,Ph 2,0.6179401993355482,0.7638603696098563,0.0
mmgp92mez7ni28,hmm_2state,Ph 3,0.43478260869565216,0.6060606060606061,0.0
mmgp92mez7ni28,hmm_2state,Ph 4,0.5727848101265823,0.7283702213279678,0.0
mmgp92mez7ni28,hmm_3state,Full,0.5399659863945578,0.7012700165654334,0.0
mmgp92mez7ni28,hmm_3state,Ph 1,0.540084388185654,0.7013698630136986,0.0
mmgp92mez7ni28,hmm_3state,Ph 2,0.6179401993355482,0.7638603696098563,0.0
mmgp92mez7ni28,hmm_3state,Ph 3,0.43478260869565216,0.6060606060606061,0.0
mmgp92mez7ni28,hmm_3state,Ph 4,0.5727848101265823,0.7283702213279678,0.0
mmgp92mez7ni28,hmm_4state,Full,0.8477891156462585,0.8764665286404417,0.7224874589034652
mmgp92mez7ni28,hmm_4state,Ph 1,0.7510548523206751,0.8126984126984127,0.5603455595890847
mmgp92mez7ni28,hmm_4state,Ph 2,0.920265780730897,0.9393939393939394,0.8371795298604663
mmgp92mez7ni28,hmm_4state,Ph 3,0.7577639751552795,0.7821229050279329,0.6057825328153826
mmgp92mez7ni28,hmm_4state,Ph 4,0.9430379746835443,0.9526315789473684,0.8878483580362536
mmgp978syi159c,hmm_2state,Full,0.5215163934426229,0.20170940170940171,0.05424982814987257
mmgp978syi159c,hmm_2state,Ph 1,0.594488188976378,0.23703703703703705,0.12707314067797518
mmgp978syi159c,hmm_2state,Ph 2,0.35537190082644626,0.13333333333333333,-0.07136826869816922
mmgp978syi159c,hmm_2state,Ph 3,0.6163265306122448,0.2033898305084746,0.08851138045709193
mmgp978syi159c,hmm_2state,Ph 4,0.5148936170212766,0.25,0.06601117541914425
mmgp978syi159c,hmm_3state,Full,0.9846311475409836,0.9846782431052093,0.9697272661753171
mmgp978syi159c,hmm_3state,Ph 1,0.9921259842519685,0.990909090909091,0.9840921719636639
mmgp978syi159c,hmm_3state,Ph 2,0.9834710743801653,0.9875,0.9637766200265587
mmgp978syi159c,hmm_3state,Ph 3,0.9795918367346939,0.9743589743589743,0.9582971007643367
mmgp978syi159c,hmm_3state,Ph 4,0.9829787234042553,0.9836065573770492,0.9664788390976609
mmgp978syi159c,hmm_4state,Full,0.992827868852459,0.9926854754440961,0.9857525228016097
mmgp978syi159c,hmm_4state,Ph 1,0.9960629921259843,0.9953917050691244,0.9919875053436022
mmgp978syi159c,hmm_4state,Ph 2,0.9917355371900827,0.9936305732484076,0.9820286836901592
mmgp978syi159c,hmm_4state,Ph 3,0.9959183673469387,0.9947089947089947,0.9914236623940481
mmgp978syi159c,hmm_4state,Ph 4,0.9872340425531915,0.9873417721518988,0.9747881125694853
mmgp9zmmm2qlbz,hmm_2state,Full,0.5406189555125726,0.5118191161356629,0.07832180578736338
mmgp9zmmm2qlbz,hmm_2state,Ph 1,0.5152838427947598,0.5506072874493927,0.06599315650751268
mmgp9zmmm2qlbz,hmm_2state,Ph 2,0.4897959183673469,0.5791245791245792,-0.048304882804774275
mmgp9zmmm2qlbz,hmm_2state,Ph 3,0.6079136690647482,0.4577114427860697,0.15108128301476278
mmgp9zmmm2qlbz,hmm_2state,Ph 4,0.5390070921985816,0.4298245614035088,0.05710884033517751
mmgp9zmmm2qlbz,hmm_3state,Full,0.9970986460348162,0.9969604863221885,0.994202134567636
mmgp9zmmm2qlbz,hmm_3state,Ph 1,1.0,1.0,1.0
mmgp9zmmm2qlbz,hmm_3state,Ph 2,0.9959183673469387,0.9969788519637462,0.990732660620047
mmgp9zmmm2qlbz,hmm_3state,Ph 3,0.9964028776978417,0.9948717948717949,0.9921327696586333
mmgp9zmmm2qlbz,hmm_3state,Ph 4,0.9964539007092199,0.9961389961389961,0.9928857039539539
mmgp9zmmm2qlbz,hmm_4state,Full,0.9990328820116054,0.9989909182643795,0.9980642884590655
mmgp9zmmm2qlbz,hmm_4state,Ph 1,1.0,1.0,1.0
mmgp9zmmm2qlbz,hmm_4state,Ph 2,1.0,1.0,1.0
mmgp9zmmm2qlbz,hmm_4state,Ph 3,0.9964028776978417,0.9949238578680203,0.9921691141464833
mmgp9zmmm2qlbz,hmm_4state,Ph 4,1.0,1.0,1.0
mmgpaypnopkm1q,hmm_2state,Full,0.5143184421534936,0.644891122278057,0.021052534605881114
mmgpaypnopkm1q,hmm_2state,Ph 1,0.5217391304347826,0.6518987341772152,0.03562542063157923
mmgpaypnopkm1q,hmm_2state,Ph 2,0.5990566037735849,0.7266881028938906,0.07042753054007889
mmgpaypnopkm1q,hmm_2state,Ph 3,0.34146341463414637,0.4444444444444444,-0.1315607613560233
mmgpaypnopkm1q,hmm_2state,Ph 4,0.584070796460177,0.7098765432098766,0.08747975909161466
mmgpaypnopkm1q,hmm_3state,Full,0.9335624284077892,0.9302884615384616,0.8751434101608138
mmgpaypnopkm1q,hmm_3state,Ph 1,0.9347826086956522,0.9321266968325792,0.8773739982416875
mmgpaypnopkm1q,hmm_3state,Ph 2,0.9292452830188679,0.9377593360995851,0.8654784978860135
mmgpaypnopkm1q,hmm_3state,Ph 3,0.9365853658536586,0.896,0.8606880796379672
mmgpaypnopkm1q,hmm_3state,Ph 4,0.9336283185840708,0.9387755102040817,0.8746843802611117
mmgpaypnopkm1q,hmm_4state,Full,1.0,1.0,1.0
mmgpaypnopkm1q,hmm_4state,Ph 1,1.0,1.0,1.0
mmgpaypnopkm1q,hmm_4state,Ph 2,1.0,1.0,1.0
mmgpaypnopkm1q,hmm_4state,Ph 3,1.0,1.0,1.0
mmgpaypnopkm1q,hmm_4state,Ph 4,1.0,1.0,1.0
mmgpciu4e2yunz,hmm_2state,Full,0.5083743842364532,0.0,0.0
mmgpciu4e2yunz,hmm_2state,Ph 1,0.4980392156862745,0.0,0.0
mmgpciu4e2yunz,hmm_2state,Ph 2,0.35968379446640314,0.0,0.0
mmgpciu4e2yunz,hmm_2state,Ph 3,0.625,0.0,0.0
mmgpciu4e2yunz,hmm_2state,Ph 4,0.5521235521235521,0.0,0.0
mmgpciu4e2yunz,hmm_3state,Full,0.5083743842364532,0.4498346196251378,0.013733446439428865
mmgpciu4e2yunz,hmm_3state,Ph 1,0.5137254901960784,0.4918032786885246,0.02791870017592058
mmgpciu4e2yunz,hmm_3state,Ph 2,0.6482213438735178,0.7043189368770764,0.2813393154153754
mmgpciu4e2yunz,hmm_3state,Ph 3,0.29435483870967744,0.2009132420091324,-0.4206690415709397
mmgpciu4e2yunz,hmm_3state,Ph 4,0.5714285714285714,0.22377622377622378,0.09927905271593475
mmgpciu4e2yunz,hmm_4state,Full,0.9881773399014778,0.9878296146044625,0.976612092245984
mmgpciu4e2yunz,hmm_4state,Ph 1,0.984313725490196,0.9841269841269841,0.9691077583675843
mmgpciu4e2yunz,hmm_4state,Ph 2,0.9881422924901185,0.9906542056074766,0.9747602804858861
mmgpciu4e2yunz,hmm_4state,Ph 3,0.9879032258064516,0.9836065573770492,0.9743547036924464
mmgpciu4e2yunz,hmm_4state,Ph 4,0.9922779922779923,0.991304347826087,0.9844812488665277
mmgpgi4g1jzpv2,hmm_2state,Full,0.5319567354965585,0.0,0.0
mmgpgi4g1jzpv2,hmm_2state,Ph 1,0.5,0.0,0.0
mmgpgi4g1jzpv2,hmm_2state,Ph 2,0.4963235294117647,0.0,0.0
mmgpgi4g1jzpv2,hmm_2state,Ph 3,0.5992779783393501,0.0,0.0
mmgpgi4g1jzpv2,hmm_2state,Ph 4,0.5227272727272727,0.0,0.0
mmgpgi4g1jzpv2,hmm_3state,Full,0.9144542772861357,0.8994219653179191,0.8390544305461024
mmgpgi4g1jzpv2,hmm_3state,Ph 1,0.8235294117647058,0.7857142857142857,0.6915640748081247
mmgpgi4g1jzpv2,hmm_3state,Ph 2,0.9227941176470589,0.9169960474308301,0.8559990764398089
mmgpgi4g1jzpv2,hmm_3state,Ph 3,0.9494584837545126,0.9326923076923077,0.8977226219194356
mmgpgi4g1jzpv2,hmm_3state,Ph 4,0.9393939393939394,0.9322033898305084,0.8844845533812719
mmgpgi4g1jzpv2,hmm_4state,Full,0.9183874139626352,0.9198067632850242,0.8490468965257114
mmgpgi4g1jzpv2,hmm_4state,Ph 1,0.8529411764705882,0.8717948717948718,0.7385489458759964
mmgpgi4g1jzpv2,hmm_4state,Ph 2,0.9522058823529411,0.9547038327526133,0.9085057600529469
mmgpgi4g1jzpv2,hmm_4state,Ph 3,0.924187725631769,0.9135802469135802,0.8570466878715977
mmgpgi4g1jzpv2,hmm_4state,Ph 4,0.928030303030303,0.9298892988929889,0.8656357994741982
mmgpiq4ct3r8s1,hmm_2state,Full,0.5364705882352941,0.0,0.0
mmgpiq4ct3r8s1,hmm_2state,Ph 1,0.5377777777777778,0.0,0.0
mmgpiq4ct3r8s1,hmm_2state,Ph 2,0.42379182156133827,0.0,0.0
mmgpiq4ct3r8s1,hmm_2state,Ph 3,0.8349514563106796,0.0,0.0
mmgpiq4ct3r8s1,hmm_2state,Ph 4,0.5335968379446641,0.0,0.0
mmgpiq4ct3r8s1,hmm_3state,Full,0.7458823529411764,0.6223776223776224,0.5536810694014092
mmgpiq4ct3r8s1,hmm_3state,Ph 1,0.6222222222222222,0.3089430894308943,0.3275813782446526
mmgpiq4ct3r8s1,hmm_3state,Ph 2,0.6394052044609665,0.5446009389671361,0.449634208971458
mmgpiq4ct3r8s1,hmm_3state,Ph 3,0.8737864077669902,0.38095238095238093,0.45210276517542247
mmgpiq4ct3r8s1,hmm_3state,Ph 4,0.9169960474308301,0.9023255813953488,0.8434307849004931
mmgpiq4ct3r8s1,hmm_4state,Full,1.0,1.0,1.0
mmgpiq4ct3r8s1,hmm_4state,Ph 1,1.0,1.0,1.0
mmgpiq4ct3r8s1,hmm_4state,Ph 2,1.0,1.0,1.0
mmgpiq4ct3r8s1,hmm_4state,Ph 3,1.0,1.0,1.0
mmgpiq4ct3r8s1,hmm_4state,Ph 4,1.0,1.0,1.0
mmgpqa16u4u07b,hmm_2state,Full,0.5040567951318459,0.6702629804450438,0.0
mmgpqa16u4u07b,hmm_2state,Ph 1,0.4915254237288136,0.6590909090909091,0.0
mmgpqa16u4u07b,hmm_2state,Ph 2,0.6212765957446809,0.7664041994750657,0.0
mmgpqa16u4u07b,hmm_2state,Ph 3,0.4148148148148148,0.5863874345549738,0.0
mmgpqa16u4u07b,hmm_2state,Ph 4,0.5020408163265306,0.6684782608695652,0.0
mmgpqa16u4u07b,hmm_3state,Full,0.9503042596348884,0.9481481481481482,0.9051573959890578
mmgpqa16u4u07b,hmm_3state,Ph 1,0.9533898305084746,0.9502262443438914,0.9105852897377665
mmgpqa16u4u07b,hmm_3state,Ph 2,0.9446808510638298,0.953405017921147,0.8915471376679178
mmgpqa16u4u07b,hmm_3state,Ph 3,0.9629629629629629,0.9532710280373832,0.9254756085607099
mmgpqa16u4u07b,hmm_3state,Ph 4,0.9387755102040817,0.935064935064935,0.8842579107348542
mmgpqa16u4u07b,hmm_4state,Full,1.0,1.0,1.0
mmgpqa16u4u07b,hmm_4state,Ph 1,1.0,1.0,1.0
mmgpqa16u4u07b,hmm_4state,Ph 2,1.0,1.0,1.0
mmgpqa16u4u07b,hmm_4state,Ph 3,1.0,1.0,1.0
mmgpqa16u4u07b,hmm_4state,Ph 4,1.0,1.0,1.0
mmgpy8l4xh9nto,hmm_2state,Full,0.5318761384335154,0.4555084745762712,0.06212034554472385
