session_id,approach,theta,E,rho,accuracy,f1,mcc,n_pred
mmgkzukxb91bym,smap_linear,0.0,2,0.7656040626333894,0.7785234899328859,0.8235294117647058,0.5269259747925982,149
mmgkzukxb91bym,smap_best,0.0,2,0.7656040626333894,0.7785234899328859,0.8235294117647058,0.5269259747925982,149
mmglwqjl2idcz3,smap_linear,0.0,2,0.9906206303958589,0.9463087248322147,0.9473684210526315,0.8929152198263784,149
mmglwqjl2idcz3,smap_best,0.0,2,0.9906206303958589,0.9463087248322147,0.9473684210526315,0.8929152198263784,149
mmgnnwif7rgnag,smap_linear,0.0,2,0.8909980506883348,0.8523489932885906,0.8735632183908046,0.6964658552324312,149
mmgnnwif7rgnag,smap_nonlinear,0.5,2,0.8926217187503185,0.7986577181208053,0.810126582278481,0.6196316868886111,149
mmgnnwif7rgnag,smap_best,0.5,2,0.8926217187503185,0.7986577181208053,0.810126582278481,0.6196316868886111,149
mmgp4bc84vs4qt,smap_linear,0.0,3,0.6115078736137598,0.5838926174496645,0.5633802816901409,0.1920075841085128,149
mmgp4bc84vs4qt,smap_nonlinear,0.1,3,0.6117918437290577,0.5838926174496645,0.5633802816901409,0.1920075841085128,149
mmgp4bc84vs4qt,smap_best,0.1,3,0.6117918437290577,0.5838926174496645,0.5633802816901409,0.1920075841085128,149
mmgp4tj5hwk1cr,smap_linear,0.0,2,0.8552563600520106,0.8389261744966443,0.8571428571428571,0.6837793628713229,149
mmgp4tj5hwk1cr,smap_nonlinear,0.5,2,0.8579643732237158,0.8590604026845637,0.8786127167630058,0.7145842434849877,149
mmgp4tj5hwk1cr,smap_best,0.5,2,0.8579643732237158,0.8590604026845637,0.8786127167630058,0.7145842434849877,149
mmgp5kmoz5itw5,smap_linear,0.0,4,0.9848469283156932,0.959731543624161,0.9651162790697675,0.9178594825971198,149
mmgp5kmoz5itw5,smap_best,0.0,4,0.9848469283156932,0.959731543624161,0.9651162790697675,0.9178594825971198,149
mmgp92mez7ni28,smap_linear,0.0,2,0.7209107181928108,0.7785234899328859,0.8235294117647058,0.5281612722736493,149
mmgp92mez7ni28,smap_best,0.0,2,0.7209107181928108,0.7785234899328859,0.8235294117647058,0.5281612722736493,149
mmgp978syi159c,smap_linear,0.0,2,0.7757193572392497,0.7516778523489933,0.7672955974842768,0.5165963939463308,149
mmgp978syi159c,smap_best,0.0,2,0.7757193572392497,0.7516778523489933,0.7672955974842768,0.5165963939463308,149
mmgp9zmmm2qlbz,smap_linear,0.0,2,0.818230076618311,0.7986577181208053,0.7887323943661971,0.6107002311894291,149
mmgp9zmmm2qlbz,smap_best,0.0,2,0.818230076618311,0.7986577181208053,0.7887323943661971,0.6107002311894291,149
mmgpaypnopkm1q,smap_linear,0.0,2,0.8142304226857151,0.8120805369127517,0.8133333333333334,0.6253155833937036,149
mmgpaypnopkm1q,smap_best,0.0,2,0.8142304226857151,0.8120805369127517,0.8133333333333334,0.6253155833937036,149
mmgpciu4e2yunz,smap_linear,0.0,2,0.7484065739749177,0.7181208053691275,0.7236842105263158,0.4425147589645181,149
mmgpciu4e2yunz,smap_best,0.0,2,0.7484065739749177,0.7181208053691275,0.7236842105263158,0.4425147589645181,149
mmgpgi4g1jzpv2,smap_linear,0.0,2,0.7473606842372117,0.7651006711409396,0.7244094488188977,0.5198021353115937,149
mmgpgi4g1jzpv2,smap_nonlinear,0.5,2,0.7503948956098851,0.7516778523489933,0.7131782945736435,0.4948680021972916,149
mmgpgi4g1jzpv2,smap_best,0.5,2,0.7503948956098851,0.7516778523489933,0.7131782945736435,0.4948680021972916,149
mmgpiq4ct3r8s1,smap_linear,0.0,2,0.9087272282560701,0.7919463087248322,0.7891156462585034,0.615926635427798,149
mmgpiq4ct3r8s1,smap_nonlinear,0.5,2,0.9151849058797239,0.8322147651006712,0.8407643312101911,0.6726232371995972,149
mmgpiq4ct3r8s1,smap_best,0.5,2,0.9151849058797239,0.8322147651006712,0.8407643312101911,0.6726232371995972,149
mmgpqa16u4u07b,smap_linear,0.0,2,0.7827861169862281,0.7651006711409396,0.7953216374269005,0.5255086236728521,149
mmgpqa16u4u07b,smap_best,0.0,2,0.7827861169862281,0.7651006711409396,0.7953216374269005,0.5255086236728521,149
mmgpy8l4xh9nto,smap_linear,0.0,2,0.8168535421923712,0.6912751677852349,0.6515151515151515,0.4616214565958413,149
mmgpy8l4xh9nto,smap_best,0.0,2,0.8168535421923712,0.6912751677852349,0.6515151515151515,0.4616214565958413,149
mmgq3qouddjc6z,smap_linear,0.0,2,0.7665185983503802,0.8053691275167785,0.8220858895705522,0.613249780340791,149
mmgq3qouddjc6z,smap_best,0.0,2,0.7665185983503802,0.8053691275167785,0.8220858895705522,0.613249780340791,149
mmgqyc7ozjls4u,smap_linear,0.0,2,0.7667488954082293,0.7986577181208053,0.782608695652174,0.6094553562503315,149
mmgqyc7ozjls4u,smap_nonlinear,0.1,2,0.7675364903921603,0.7986577181208053,0.782608695652174,0.6094553562503315,149
mmgqyc7ozjls4u,smap_best,0.1,2,0.7675364903921603,0.7986577181208053,0.782608695652174,0.6094553562503315,149
mmgr4s188ypj5i,smap_linear,0.0,2,0.8255274397176873,0.8523489932885906,0.8589743589743589,0.7152153134327165,149
mmgr4s188ypj5i,smap_nonlinear,0.5,2,0.8289686866111896,0.8523489932885906,0.8571428571428571,0.7195778359479676,149
mmgr4s188ypj5i,smap_best,0.5,2,0.8289686866111896,0.8523489932885906,0.8571428571428571,0.7195778359479676,149
mmgr4wtlfg07a6,smap_linear,0.0,3,0.7532270939885868,0.7651006711409396,0.7770700636942676,0.5344691351052444,149
mmgr4wtlfg07a6,smap_nonlinear,1.0,3,0.7739245638840868,0.7651006711409396,0.7586206896551724,0.5609071025504546,149
mmgr4wtlfg07a6,smap_best,1.0,3,0.7739245638840868,0.7651006711409396,0.7586206896551724,0.5609071025504546,149
mmgr8c41csnx7y,smap_linear,0.0,2,0.9216509795666579,0.738255033557047,0.723404255319149,0.5333722969038182,149
mmgr8c41csnx7y,smap_nonlinear,1.0,2,0.9246302947006904,0.7315436241610739,0.7058823529411765,0.5402431528333519,149
mmgr8c41csnx7y,smap_best,1.0,2,0.9246302947006904,0.7315436241610739,0.7058823529411765,0.5402431528333519,149
mmh0l2c7syhpy7,smap_linear,0.0,2,0.7810220899741129,0.7449664429530202,0.7978723404255319,0.45271166707378946,149
mmh0l2c7syhpy7,smap_best,0.0,2,0.7810220899741129,0.7449664429530202,0.7978723404255319,0.45271166707378946,149
mmh0l48d4j1y4y,smap_linear,0.0,2,0.8420096124362652,0.7449664429530202,0.7816091954022989,0.5238852408127755,149
mmh0l48d4j1y4y,smap_nonlinear,0.01,2,0.8420148604283233,0.7449664429530202,0.7816091954022989,0.5238852408127755,149
mmh0l48d4j1y4y,smap_best,0.01,2,0.8420148604283233,0.7449664429530202,0.7816091954022989,0.5238852408127755,149
mmh0le5hn8utpd,smap_linear,0.0,2,0.7237839897306886,0.7583892617449665,0.7721518987341772,0.5219066289927053,149
mmh0le5hn8utpd,smap_best,0.0,2,0.7237839897306886,0.7583892617449665,0.7721518987341772,0.5219066289927053,149
mmh0lgop76n6ez,smap_linear,0.0,2,0.628055849789203,0.7248322147651006,0.7007299270072993,0.46535186847823196,149
mmh0lgop76n6ez,smap_best,0.0,2,0.628055849789203,0.7248322147651006,0.7007299270072993,0.46535186847823196,149
mmh0lku3ip54e4,smap_linear,0.0,2,0.9052344790805202,0.87248322147651,0.8288288288288288,0.7379580170677823,149
mmh0lku3ip54e4,smap_nonlinear,0.1,2,0.9052957295663451,0.87248322147651,0.8288288288288288,0.7379580170677823,149
mmh0lku3ip54e4,smap_best,0.1,2,0.9052957295663451,0.87248322147651,0.8288288288288288,0.7379580170677823,149
mmh0lpcdm9wdcu,smap_linear,0.0,6,0.9968635530745354,0.959731543624161,0.9634146341463414,0.9189912291166205,149
mmh0lpcdm9wdcu,smap_best,0.0,6,0.9968635530745354,0.959731543624161,0.9634146341463414,0.9189912291166205,149
mmh0m3latwun95,smap_linear,0.0,2,0.7509771780088328,0.7785234899328859,0.8023952095808383,0.5505584342832036,149
mmh0m3latwun95,smap_best,0.0,2,0.7509771780088328,0.7785234899328859,0.8023952095808383,0.5505584342832036,149
mmh0mm0schxk59,smap_linear,0.0,2,0.8795627306142045,0.8456375838926175,0.8496732026143791,0.6911287863748748,149
mmh0mm0schxk59,smap_nonlinear,0.5,2,0.882695991076031,0.8523489932885906,0.8513513513513513,0.7059142182774941,149
mmh0mm0schxk59,smap_best,0.5,2,0.882695991076031,0.8523489932885906,0.8513513513513513,0.7059142182774941,149
mmh0mmptqfyu87,smap_linear,0.0,6,0.7025250976030438,0.6174496644295302,0.5714285714285714,0.4075402365138187,149
mmh0mmptqfyu87,smap_nonlinear,0.1,6,0.7033113213324135,0.6241610738255033,0.582089552238806,0.41606021581118213,149
mmh0mmptqfyu87,smap_best,0.1,6,0.7033113213324135,0.6241610738255033,0.582089552238806,0.41606021581118213,149
mmh0nnjg95y0zn,smap_linear,0.0,2,0.3826771464414304,0.6510067114093959,0.6867469879518072,0.2949479134426459,149
mmh0nnjg95y0zn,smap_best,0.0,2,0.3826771464414304,0.6510067114093959,0.6867469879518072,0.2949479134426459,149
mmh0ocgvf4p325,smap_linear,0.0,2,0.8531185243931505,0.7583892617449665,0.7534246575342466,0.526490470576521,149
mmh0ocgvf4p325,smap_best,0.0,2,0.8531185243931505,0.7583892617449665,0.7534246575342466,0.526490470576521,149
mmh0opq734nw1a,smap_linear,0.0,2,0.9113605398374294,0.8523489932885906,0.8607594936708861,0.7064022165207822,149
mmh0opq734nw1a,smap_nonlinear,0.01,2,0.9113686538980639,0.8523489932885906,0.8607594936708861,0.7064022165207822,149
mmh0opq734nw1a,smap_best,0.01,2,0.9113686538980639,0.8523489932885906,0.8607594936708861,0.7064022165207822,149
mmh0ozswma6i3j,smap_linear,0.0,2,0.8103912909981986,0.785234899328859,0.7922077922077922,0.5702690395114536,149
mmh0ozswma6i3j,smap_nonlinear,0.1,2,0.8108578458396893,0.785234899328859,0.7948717948717948,0.5706559641483611,149
mmh0ozswma6i3j,smap_best,0.1,2,0.8108578458396893,0.785234899328859,0.7948717948717948,0.5706559641483611,149
mmh0pa4lgnz2nd,smap_linear,0.0,2,0.7525681712277168,0.8053691275167785,0.8053691275167785,0.6143011917659805,149
mmh0pa4lgnz2nd,smap_nonlinear,0.5,2,0.7581798889350548,0.8120805369127517,0.8108108108108109,0.6288400630749819,149
mmh0pa4lgnz2nd,smap_best,0.5,2,0.7581798889350548,0.8120805369127517,0.8108108108108109,0.6288400630749819,149
mmh0pj6zqdvwmg,smap_linear,0.0,2,0.7219051957537161,0.7248322147651006,0.7421383647798742,0.45039906408596436,149
mmh0pj6zqdvwmg,smap_nonlinear,1.0,2,0.7264581436847539,0.7315436241610739,0.75,0.4644043744684415,149
mmh0pj6zqdvwmg,smap_best,1.0,2,0.7264581436847539,0.7315436241610739,0.75,0.4644043744684415,149
mmh0pjhqfbciu8,smap_linear,0.0,2,0.8818263354536913,0.9060402684563759,0.9125,0.8113804845928341,149
mmh0pjhqfbciu8,smap_nonlinear,0.01,2,0.8818329190682153,0.9060402684563759,0.9125,0.8113804845928341,149
mmh0pjhqfbciu8,smap_best,0.01,2,0.8818329190682153,0.9060402684563759,0.9125,0.8113804845928341,149
mmh0puch6r88f0,smap_linear,0.0,2,0.8627954781420376,0.8590604026845637,0.864516129032258,0.7239717075470683,149
mmh0puch6r88f0,smap_best,0.0,2,0.8627954781420376,0.8590604026845637,0.864516129032258,0.7239717075470683,149
mmh0r154h7irg3,smap_linear,0.0,3,0.7397669341464451,0.7651006711409396,0.7741935483870968,0.5350543968211258,149
mmh0r154h7irg3,smap_best,0.0,3,0.7397669341464451,0.7651006711409396,0.7741935483870968,0.5350543968211258,149
mmh0r34rqnesgg,smap_linear,0.0,4,0.7682187944559887,0.7785234899328859,0.819672131147541,0.5456129818285006,149
mmh0r34rqnesgg,smap_nonlinear,3.0,4,0.8400699885978492,0.8523489932885906,0.8674698795180723,0.7020595782297133,149
mmh0r34rqnesgg,smap_best,3.0,4,0.8400699885978492,0.8523489932885906,0.8674698795180723,0.7020595782297133,149
mmh0rqn6g1cadb,smap_linear,0.0,2,0.7738244288282943,0.8456375838926175,0.8756756756756757,0.6762619329292403,149
mmh0rqn6g1cadb,smap_best,0.0,2,0.7738244288282943,0.8456375838926175,0.8756756756756757,0.6762619329292403,149
mmh0tro0khha5x,smap_linear,0.0,2,0.8098417146622976,0.7516778523489933,0.7549668874172185,0.5038760426841769,149
