session_id,scope,phase_id,n_clicks,hurst_exponent,dfa_alpha
mmgkzukxb91bym,full_session,0,1054,0.6640837316167567,0.6640837316167567
mmgkzukxb91bym,phase_1,1,266,0.9703653866903774,0.9703653866903774
mmgkzukxb91bym,phase_2,2,260,0.926773532501023,0.926773532501023
mmgkzukxb91bym,phase_3,3,263,1.0397999071210056,1.0397999071210056
mmgkzukxb91bym,phase_4,4,265,0.8829785370499507,0.8829785370499507
mmglwqjl2idcz3,full_session,0,583,1.0219326200706351,1.0219326200706351
mmglwqjl2idcz3,phase_1,1,125,0.8939860191006285,0.8939860191006285
mmglwqjl2idcz3,phase_2,2,164,1.0935951382843718,1.0935951382843718
mmglwqjl2idcz3,phase_3,3,172,3.795579656697863,3.795579656697863
mmglwqjl2idcz3,phase_4,4,122,0.9122663647334855,0.9122663647334855
mmgnnwif7rgnag,full_session,0,812,0.6451567410952392,0.6451567410952392
mmgnnwif7rgnag,phase_1,1,220,0.5100498445871502,0.5100498445871502
mmgnnwif7rgnag,phase_2,2,230,0.7596193816643656,0.7596193816643656
mmgnnwif7rgnag,phase_3,3,226,0.8515396281888024,0.8515396281888024
mmgnnwif7rgnag,phase_4,4,136,0.6111218438400925,0.6111218438400925
mmgp4bc84vs4qt,full_session,0,1107,0.5768423337906107,0.5768423337906107
mmgp4bc84vs4qt,phase_1,1,268,0.6934508796856773,0.6934508796856773
mmgp4bc84vs4qt,phase_2,2,255,0.6609877966730003,0.6609877966730003
mmgp4bc84vs4qt,phase_3,3,286,0.9150222071519821,0.9150222071519821
mmgp4bc84vs4qt,phase_4,4,298,0.7153914937697706,0.7153914937697706
mmgp4tj5hwk1cr,full_session,0,971,0.6760174940208944,0.6760174940208944
mmgp4tj5hwk1cr,phase_1,1,222,0.599074526683412,0.599074526683412
mmgp4tj5hwk1cr,phase_2,2,232,0.791662516800626,0.791662516800626
mmgp4tj5hwk1cr,phase_3,3,255,0.9934655267330462,0.9934655267330462
mmgp4tj5hwk1cr,phase_4,4,262,0.9234202476362997,0.9234202476362997
mmgp5kmoz5itw5,full_session,0,292,0.943080411354903,0.943080411354903
mmgp5kmoz5itw5,phase_1,1,120,1.1621095996030035,1.1621095996030035
mmgp5kmoz5itw5,phase_2,2,11,,
mmgp5kmoz5itw5,phase_3,3,83,1.325418503963022,1.325418503963022
mmgp5kmoz5itw5,phase_4,4,78,1.3140306428049673,1.3140306428049673
mmgp92mez7ni28,full_session,0,1176,0.7047968394577343,0.7047968394577343
mmgp92mez7ni28,phase_1,1,237,0.8656350628988512,0.8656350628988512
mmgp92mez7ni28,phase_2,2,301,0.9362849751915551,0.9362849751915551
mmgp92mez7ni28,phase_3,3,322,0.9533247221533997,0.9533247221533997
mmgp92mez7ni28,phase_4,4,316,1.0402704780023637,1.0402704780023637
mmgp978syi159c,full_session,0,976,0.6237131570011273,0.6237131570011273
mmgp978syi159c,phase_1,1,254,0.79780113867767,0.79780113867767
mmgp978syi159c,phase_2,2,242,0.8213479784231973,0.8213479784231973
mmgp978syi159c,phase_3,3,245,0.7835313751504264,0.7835313751504264
mmgp978syi159c,phase_4,4,235,0.5252220577676017,0.5252220577676017
mmgp9zmmm2qlbz,full_session,0,1034,0.5919198236434501,0.5919198236434501
mmgp9zmmm2qlbz,phase_1,1,229,0.8277345089763802,0.8277345089763802
mmgp9zmmm2qlbz,phase_2,2,245,0.6926025718473783,0.6926025718473783
mmgp9zmmm2qlbz,phase_3,3,278,0.8703672594675714,0.8703672594675714
mmgp9zmmm2qlbz,phase_4,4,282,0.4004744501375417,0.4004744501375417
mmgpaypnopkm1q,full_session,0,873,0.7181805390127747,0.7181805390127747
mmgpaypnopkm1q,phase_1,1,230,1.0874145837149942,1.0874145837149942
mmgpaypnopkm1q,phase_2,2,212,1.1050879013534647,1.1050879013534647
mmgpaypnopkm1q,phase_3,3,205,0.9020956766281891,0.9020956766281891
mmgpaypnopkm1q,phase_4,4,226,0.9371746043998527,0.9371746043998527
mmgpciu4e2yunz,full_session,0,1015,0.7452976773567862,0.7452976773567862
mmgpciu4e2yunz,phase_1,1,255,1.245207578189047,1.245207578189047
mmgpciu4e2yunz,phase_2,2,253,1.1256148655687546,1.1256148655687546
mmgpciu4e2yunz,phase_3,3,248,1.1515018446874272,1.1515018446874272
mmgpciu4e2yunz,phase_4,4,259,0.7873878031604393,0.7873878031604393
mmgpgi4g1jzpv2,full_session,0,1017,0.7546584180693763,0.7546584180693763
mmgpgi4g1jzpv2,phase_1,1,204,0.8174308820609658,0.8174308820609658
mmgpgi4g1jzpv2,phase_2,2,272,1.0807557738659428,1.0807557738659428
mmgpgi4g1jzpv2,phase_3,3,277,1.070308796004482,1.070308796004482
mmgpgi4g1jzpv2,phase_4,4,264,0.9584734344352553,0.9584734344352553
mmgpiq4ct3r8s1,full_session,0,850,0.8275145973545253,0.8275145973545253
mmgpiq4ct3r8s1,phase_1,1,225,0.9062664627980849,0.9062664627980849
mmgpiq4ct3r8s1,phase_2,2,269,0.9913323867905245,0.9913323867905245
mmgpiq4ct3r8s1,phase_3,3,103,1.3068328843326373,1.3068328843326373
mmgpiq4ct3r8s1,phase_4,4,253,0.9729388032949073,0.9729388032949073
mmgpqa16u4u07b,full_session,0,986,0.724206004976795,0.724206004976795
mmgpqa16u4u07b,phase_1,1,236,0.9253555067551656,0.9253555067551656
mmgpqa16u4u07b,phase_2,2,235,0.9096516275312647,0.9096516275312647
mmgpqa16u4u07b,phase_3,3,270,1.1390251692896884,1.1390251692896884
