session_id,model,n_params,nll,aic,bic,n_obs,alpha,beta,alpha_pos,alpha_neg,forget,alpha_base,alpha_gain,decay,alpha_phase1,alpha_phase2,alpha_phase3,alpha_phase4,sensitivity,bias,r_squared,n_bins
mmh16ou0ocswzc,generalized_matching_law,2,803.9295748270983,1611.8591496541967,1621.6686511941205,997.0,,,,,,,,,,,,,0.39199064316418547,1.0257109570255083,0.6338063289326735,40.0
mmh19xdl74m2p5,generalized_matching_law,2,872.0818209964789,1748.1636419929578,1757.8744595901776,949.0,,,,,,,,,,,,,0.5704405408952593,1.0748473098146516,0.5127272695366324,33.0
mmh1cyh0ahaw8s,generalized_matching_law,2,758.504799018594,1521.009598037188,1530.872541648387,1024.0,,,,,,,,,,,,,0.42466495932926407,1.0104444500850278,0.5523677911747579,37.0
mmh1eq07kkdfkw,generalized_matching_law,2,866.0231044699435,1736.046208939887,1746.0230353038862,1084.0,,,,,,,,,,,,,0.26699698757361684,0.8579353852484506,0.31757896548420633,40.0
mmh1jfrxrszco0,generalized_matching_law,2,254.1892232174077,512.3784464348154,520.8745321838322,517.0,,,,,,,,,,,,,0.916750056651424,1.0382128422209407,0.9724992066312609,19.0
mmh1qje9negjr0,generalized_matching_law,2,739.6084125314633,1483.2168250629265,1492.8524862058348,914.0,,,,,,,,,,,,,0.7277293209994498,1.0327478823188665,0.5419451241646086,37.0
mmh1sestgp7zew,generalized_matching_law,2,812.3601554297321,1628.7203108594642,1638.7855593815202,1133.0,,,,,,,,,,,,,0.3487900869029616,1.0366719484726823,0.21292459269826056,33.0
mmh1tezp242ppu,generalized_matching_law,2,829.5258669684533,1663.0517339369067,1672.7835160866734,959.0,,,,,,,,,,,,,0.43670126554953637,1.052794962347684,0.7280569935482519,39.0
mmh1wzqpu4iob1,generalized_matching_law,2,599.5278240150365,1203.055648030073,1212.539049419377,847.0,,,,,,,,,,,,,0.5413991892459723,0.9713778300890744,0.7860132413325414,36.0
mmh250jg0prrne,generalized_matching_law,2,582.3991797310675,1168.798359462135,1178.2218402522474,822.0,,,,,,,,,,,,,0.46625382291482154,0.9757148815167386,0.7153032436652456,38.0
mmh28cu87aoonk,generalized_matching_law,2,667.9639550013103,1339.9279100026206,1349.3538224039748,823.0,,,,,,,,,,,,,0.5588140124583957,0.9000319830418053,0.6188915670200386,40.0
