session_id,overall_switch_rate,mean_run_length,choice_entropy,win_stay_rate,lose_shift_rate,overall_reward_rate,total_rewards,choice_prop_a,total_clicks,adaptation_lag_phase2_s,adaptation_lag_phase3_s,dfa_alpha,sample_entropy,determinism,laminarity,trapping_time,best_E,ccm_asymmetry
mmgkzukxb91bym,0.11859582542694497,8.733333333333333,0.9973387206808634,0.9544419134396356,0.17100977198697068,0.41650853889943074,439,0.530360531309298,1054,4.024,6.144,0.6640837316167567,1.182961526113343,0.92200240761351,0.9863833556681127,4.9773638968481375,3,0.33504200000000006
mmglwqjl2idcz3,0.10806174957118353,15.027027027027026,0.9956980583124986,0.9400386847195358,0.49230769230769234,0.8867924528301887,517,0.5385934819897084,583,8.034,11.224,1.0219326200706351,0.10553209441679692,0.9837230100932668,0.9920659256420084,20.179054054054053,2,0.2748315000000001
mmgnnwif7rgnag,0.29310344827586204,4.410714285714286,1.0,0.7927461139896373,0.5086206896551724,0.7142857142857143,580,0.5,812,10.863,6.896,0.6451567410952392,0.8400566991306441,0.9738956356904326,0.9907788791156228,10.67544738725841,1,0.31847250000000005
mmgp4bc84vs4qt,0.27822944896115626,6.7,0.9991940026021565,0.7330097087378641,0.28530259365994237,0.3721770551038844,412,0.4832881662149955,1107,4.456,17.757,0.5768423337906107,1.3862943611198906,0.9236542998069912,0.97423868754021,5.819846268816057,5,-0.2953015
mmgp4tj5hwk1cr,0.3223480947476828,6.429752066115703,0.9999931142811856,0.6264367816091954,0.26339285714285715,0.537590113285273,522,0.4984552008238929,971,0.124,16.562,0.6760174940208944,1.4169022062061323,0.9562026683337832,0.9767586422471974,9.652520359449593,1,0.28753850000000003
mmgp5kmoz5itw5,0.11301369863013698,9.6,0.9751875821170082,0.9315589353612167,0.5357142857142857,0.9041095890410958,264,0.5924657534246576,292,0.698,55.301,0.943080411354903,0.3977456537654875,0.9713026268441886,0.9894746311622886,7.887414844030118,2,0.2663579999999999
mmgp92mez7ni28,0.11224489795918367,10.069565217391304,0.9953863036764091,0.889196675900277,0.11302211302211303,0.30697278911564624,361,0.5399659863945578,1176,5.041,7.07,0.7047968394577343,1.2953904140147494,0.9230796529268768,0.986248380857746,5.138630795543845,4,-0.28647700000000004
mmgp978syi159c,0.22848360655737704,4.704433497536946,0.9998909518398613,0.82,0.28,0.5122950819672131,500,0.49385245901639346,976,1.269,16.196,0.6237131570011273,1.5188924825614147,0.9772642280802946,0.9932369476893432,10.157974913298546,2,-0.1549430000000001
mmgp9zmmm2qlbz,0.28239845261121854,4.761421319796955,0.998693408098057,0.8155136268343816,0.3669064748201439,0.46131528046421666,477,0.4787234042553192,1034,4.174,3.031,0.5919198236434501,1.57230369099303,0.9250682640814512,0.9662913024151726,6.288813886210222,5,-0.012998499999999968
mmgpaypnopkm1q,0.10882016036655212,9.09375,0.9997264470834905,0.9574468085106383,0.1865671641791045,0.5395189003436426,471,0.5097365406643757,873,6.548,8.911,0.7181805390127747,0.7611445318053952,0.9773458024546132,0.9967111712347568,8.192120211094549,4,0.128961
mmgpciu4e2yunz,0.09064039408866995,11.359550561797754,0.9997976372334331,0.974477958236659,0.13893653516295026,0.4246305418719212,431,0.4916256157635468,1015,3.508,6.944,0.7452976773567862,1.0196800752786004,0.8881001082902178,0.980297196486584,4.378476420798065,2,0.09985900000000003
mmgpgi4g1jzpv2,0.11504424778761062,9.64423076923077,0.9970513351604614,0.9009009009009009,0.12762237762237763,0.4365781710914454,444,0.46804326450344147,1017,0.035,7.224,0.7546584180693763,1.120326048891894,0.9155371900826448,0.9781109799291616,5.42683086597668,4,0.13649850000000013
mmgpiq4ct3r8s1,0.24705882352941178,9.192307692307692,0.9961587212310236,0.6831460674157304,0.1707920792079208,0.5235294117647059,445,0.46352941176470586,850,7.09,13.89,0.8275145973545253,0.388502480888585,0.9852464103359756,0.997884284465006,10.665527638190955,2,0.15217700000000006
mmgpqa16u4u07b,0.10344827586206896,9.572815533980583,0.9999525129214223,0.9570135746606335,0.15285451197053407,0.4482758620689655,442,0.5040567951318459,986,8.267,3.91,0.724206004976795,1.3103920813320042,0.9774177712322042,0.9963349271356616,8.64311758014176,1,0.17514200000000002
mmgpy8l4xh9nto,0.42349726775956287,3.2981818181818183,0.999846822421679,0.652605459057072,0.46829971181556196,0.3670309653916211,403,0.49271402550091076,1098,24.711,14.278,0.516061455962599,1.0859123150392505,0.9155742225616224,0.9452575905420504,8.543200408997954,1,-0.00598700000000002
mmgq3qouddjc6z,0.24024284475281873,4.630705394190872,0.9999734120608191,0.8858858858858859,0.29181929181929184,0.2888117953165655,333,0.49696444058976585,1153,6.688,6.142,0.5533485972237453,1.743894802579566,0.9231053480247244,0.966222117710293,5.818540433925049,1,-0.02501450000000005
mmgqyc7ozjls4u,0.25170731707317073,4.546296296296297,0.9995708393473225,0.782,0.28435114503816794,0.4878048780487805,500,0.4878048780487805,1025,23.025,12.284,0.5085180456448436,1.575536360758419,0.9142732335917876,0.9630246441702158,5.805727766500247,2,-0.138152
mmgr4s188ypj5i,0.11909448818897637,8.91150442477876,0.9997204592214384,0.918859649122807,0.15026833631484796,0.44881889763779526,456,0.49015748031496065,1016,8.253,7.482,0.7129920686389938,1.5083417955627316,0.890110831809872,0.9795618144424132,4.370976993180804,5,0.1056254999999999
mmgr4wtlfg07a6,0.4476987447698745,4.5369127516778525,0.9998452964234804,0.5472027972027972,0.4412532637075718,0.5983263598326359,572,0.49267782426778245,956,14.343,11.693,0.546141842860351,1.0864460449762394,0.959105715586056,0.9756920118842464,12.283493208008757,4,0.2296645
mmgr8c41csnx7y,0.2635431918008785,6.340425531914893,0.9917438279491075,0.7030927835051546,0.18274111675126903,0.7115666178623719,486,0.4465592972181552,683,16.292,17.342,0.7825252615764973,0.988942887785896,0.9642226211849192,0.9826427289048474,9.335675786313708,2,0.3580855000000001
